row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023,Ngày 31 tháng 12năm 2022(Trình bày lại),numeric__Ngày 31 tháng 12năm 2023,numeric__Ngày 31 tháng 12năm 2022(Trình bày lại)
,,,Triệu đồng,Triệu đồng,,
Cam kết bào lãnh vay vốn,Cam kết bào lãnh vay vốn,Cam kết bào lãnh vay vốn,1.754.978,2.468.421,1754978.0,2468421.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,298.229.425,148.776.499,298229425.0,148776499.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,264.965,1.158.171,264965.0,1158171.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,992.663,786.489,992663.0,786489.0
- Cam kết nhận - giao dịch hoán đối tiên tệ,- Cam kết nhận - giao dịch hoán đối tiên tệ,- Cam kết nhận - giao dịch hoán đối tiên tệ,148.506.799,73.357.690,148506799.0,73357690.0
- Cam kết trả - giao dịch hoán đối tiên tệ,- Cam kết trả - giao dịch hoán đối tiên tệ,- Cam kết trả - giao dịch hoán đối tiên tệ,148.464.998,73.474.149,148464998.0,73474149.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,38.680.116,46.948.724,38680116.0,46948724.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,38.826.301,47.999.900,38826301.0,47999900.0
- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,(146.185),(1.051.176),-146185.0,-1051176.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,19.546.205,22.209.420,19546205.0,22209420.0
- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,6.796.559,7.891.410,6796559.0,7891410.0
- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,4.410.630,6.479.337,4410630.0,6479337.0
- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,371.974,420.894,371974.0,420894.0
- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,8.370.870,7.739.348,8370870.0,7739348.0
- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,- Trừ: Tiền ký quỹ,(403.828),(321.569),-403828.0,-321569.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,282.690.471,288.473.443,282690471.0,288473443.0
- Cam kết hoán đối lãi suất tiền tệ chéo - nhận,- Cam kết hoán đối lãi suất tiền tệ chéo - nhận,- Cam kết hoán đối lãi suất tiền tệ chéo - nhận,30.098.391,29.472.674,30098391.0,29472674.0
- Cam kết hoán đối lãi suất tiền tệ chéo - trả,- Cam kết hoán đối lãi suất tiền tệ chéo - trả,- Cam kết hoán đối lãi suất tiền tệ chéo - trả,30.677.552,29.464.926,30677552.0,29464926.0
- Cam kết hoán đối lãi suất một đồng tiền,- Cam kết hoán đối lãi suất một đồng tiền,- Cam kết hoán đối lãi suất một đồng tiền,21.973.473,42.462.782,21973473.0,42462782.0
- Cam kết mua bán giấy tờ có giá,- Cam kết mua bán giấy tờ có giá,- Cam kết mua bán giấy tờ có giá,3.366.684,2.120.425,3366684.0,2120425.0
- Cam kết khác,- Cam kết khác,- Cam kết khác,196.574.371,184.952.636,196574371.0,184952636.0
Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,Trong đó: Hạn mức tín dụng chưa sử dụng có thể hủy ngang,196.427.687,183.780.412,196427687.0,183780412.0
Nghĩa vụ tiềm ản và các cam kết đưa ra,Nghĩa vụ tiềm ản và các cam kết đưa ra,Nghĩa vụ tiềm ản và các cam kết đưa ra,640.901.195,508.876.507,640901195.0,508876507.0
