row_label_raw,row_label_full,col_0,Năm 2023Triệu đồng,Năm 2022Triệu đồng,numeric__Năm 2023Triệu đồng,numeric__Năm 2022Triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,10.035.330,8.242.121,10035330.0,8242121.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,3.113.341,2.370.534,3113341.0,2370534.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,45.418,78.025,45418.0,78025.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,1.107.302,1.372.628,1107302.0,1372628.0
Thu khác,Thu khác,Thu khác,5.769.269,4.420.934,5769269.0,4420934.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(3.931.824),(2.260.366),-3931824.0,-2260366.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(384.037),(282.819),-384037.0,-282819.0
Hoa hồng môi giới,Hoa hồng môi giới,Hoa hồng môi giới,(58.919),(29.146),-58919.0,-29146.0
Chi khác,Chi khác,Chi khác,(3.488.868),(1.948.401),-3488868.0,-1948401.0
,,,6.103.506,5.981.755,6103506.0,5981755.0
