row_label_raw,row_label_full,Công ty TNHH Quản lý tài sản Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng > Công ty Tài chính TNHH Ngân hàng Việt Nam Thịnh Vượng SMBC,Ngày 31 tháng 12 năm 2023 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"Ngày 31 tháng 12 năm 2023 > Tỷ lệsở hữu(%) > 100,00 > 50,00",Ngày 31 tháng 12 năm 2022 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"Ngày 31 tháng 12 năm 2022 > Tỷ lệsở hữu(%) > 100,00 > 50,00",numeric__Ngày 31 tháng 12 năm 2023 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"numeric__Ngày 31 tháng 12 năm 2023 > Tỷ lệsở hữu(%) > 100,00 > 50,00",numeric__Ngày 31 tháng 12 năm 2022 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"numeric__Ngày 31 tháng 12 năm 2022 > Tỷ lệsở hữu(%) > 100,00 > 50,00"
Công ty Cổ phần Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,15.083.267,"99,9537",15.083.267,"99,9537",15083267.0,99.9537,15083267.0,99.9537
Công ty Cổ phần Bảo hiểm OPES,Công ty Cổ phần Bảo hiểm OPES,Công ty Cổ phần Bảo hiểm OPES,644.505,"98,00",644.505,"98,00",644505.0,98.0,644505.0,98.0
,,,21.418.790,,21.418.790,,21418790.0,,21418790.0,
Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,(326.253),,(44.220),,-326253.0,,-44220.0,
,,,21.092.537,,21.374.570,,21092537.0,,21374570.0,
