row_label_raw,row_label_full,col_0,Năm 2023Triệu đồng,Năm 2022Triệu đồng,numeric__Năm 2023Triệu đồng,numeric__Năm 2022Triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,5.858.826,11.187.533,5858826.0,11187533.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,3.533.159,2.810.204,3533159.0,2810204.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,2.095.313,2.138.775,2095313.0,2138775.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,903,436,903.0,436.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,327,16.643,327.0,16643.0
Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,106.949,340.102,106949.0,340102.0
Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,1.368,808,1368.0,808.0
Thu nhập hỗ trợ và thu nhập khác,Thu nhập hỗ trợ và thu nhập khác,Thu nhập hỗ trợ và thu nhập khác,120.807,5.880.565,120807.0,5880565.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(2.817.788),(1.999.183),-2817788.0,-1999183.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(2.583.158),(1.912.967),-2583158.0,-1912967.0
Chi về thanh lý tài sản khác,Chi về thanh lý tài sản khác,Chi về thanh lý tài sản khác,-,(11.644),,-11644.0
Chi về mua bán nợ,Chi về mua bán nợ,Chi về mua bán nợ,-,(21),,-21.0
Chi khác,Chi khác,Chi khác,(234.630),(74.551),-234630.0,-74551.0
,,,3.041.038,9.188.350,3041038.0,9188350.0
