row_label_raw,row_label_full,col_0,Thuyếtmính,Ngày 31 tháng 12năm 2023Triệu đồng,Ngày 31 tháng 12năm 2022(Trình bày lại)Triệu đồng,numeric__Thuyếtmính,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Ngày 31 tháng 12năm 2022(Trình bày lại)Triệu đồng
Nghĩa vụ tiềm ẩn và các cam kết đưa ra,Nghĩa vụ tiềm ẩn và các cam kết đưa ra,Nghĩa vụ tiềm ẩn và các cam kết đưa ra,38,640.901.195,508.876.507,38.0,640901195.0,508876507.0
Cam kết bảo lãnh vay vốn,Cam kết bảo lãnh vay vốn,Cam kết bảo lãnh vay vốn,,1.754.978,2.468.421,,1754978.0,2468421.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,,298.229.425,148.776.499,,298229425.0,148776499.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,264.965,1.158.171,,264965.0,1158171.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,992.663,786.489,,992663.0,786489.0
- Cam kết nhận – giao dịch hoán đối tiền tệ,- Cam kết nhận – giao dịch hoán đối tiền tệ,- Cam kết nhận – giao dịch hoán đối tiền tệ,,148.506.799,73.357.690,,148506799.0,73357690.0
- Cam kết trả – giao dịch hoán đối tiền tệ,- Cam kết trả – giao dịch hoán đối tiền tệ,- Cam kết trả – giao dịch hoán đối tiền tệ,,148.464.998,73.474.149,,148464998.0,73474149.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,38.680.116,46.948.724,,38680116.0,46948724.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,19.546.205,22.209.420,,19546205.0,22209420.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,282.690.471,288.473.443,,282690471.0,288473443.0
- Trong đó: Hạn mức tín dụng chưa sử dụngcó thể hủy ngang,- Trong đó: Hạn mức tín dụng chưa sử dụngcó thể hủy ngang,- Trong đó: Hạn mức tín dụng chưa sử dụngcó thể hủy ngang,,196.427.687,183.780.412,,196427687.0,183780412.0
Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,39,176.600.284,141.094.498,39.0,176600284.0,141094498.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,39.1,4.090.468,2.763.392,391.0,4090468.0,2763392.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,39.2,42.971.727,37.333.250,392.0,42971727.0,37333250.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,39.3,129.538.089,100.997.856,393.0,129538089.0,100997856.0
,,,,817.501.479,649.971.005,,817501479.0,649971005.0
