row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023Triệu đồng,%,Ngày 31 tháng 12năm 2022Triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2022Triệu đồng,numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",3.041.136,"0,61",3.678.961,"1,02",3041136.0,0.61,3678961.0,1.02
Khai khoáng,Khai khoáng,Khai khoáng,1.502.568,"0,30",1.327.520,"0,37",1502568.0,0.3,1327520.0,0.37
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",26.526.254,"5,34",21.391.907,"5,91",26526254.0,5.34,21391907.0,5.91
"Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước vàđiều hoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước vàđiều hoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước vàđiều hoà không khí",1.408.650,"0,28",2.302.444,"0,64",1408650.0,0.28,2302444.0,0.64
"Cung cấp nước; hoạt độngquản lý và xử lý rác thải, nurócthải","Cung cấp nước; hoạt độngquản lý và xử lý rác thải, nurócthải","Cung cấp nước; hoạt độngquản lý và xử lý rác thải, nurócthải",692.813,"0,14",618.115,"0,17",692813.0,0.14,618115.0,0.17
Xây dựng,Xây dựng,Xây dựng,27.538.416,"5,55",23.418.023,"6,47",27538416.0,5.55,23418023.0,6.47
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",53.438.420,"10,76",44.228.974,"12,23",53438420.0,10.76,44228974.0,12.23
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,9.817.781,"1,98",11.131.595,"3,08",9817781.0,1.98,11131595.0,3.08
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,13.290.068,"2,68",9.849.927,"2,72",13290068.0,2.68,9849927.0,2.72
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,911.727,"0,18",310.635,"0,09",911727.0,0.18,310635.0,0.09
"Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm",20.891.311,"4,21",3.930.817,"1,09",20891311.0,4.21,3930817.0,1.09
Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,96.957.430,"19,53",52.051.541,"14,39",96957430.0,19.53,52051541.0,14.39
"Hoạt động chuyên môn, khoahọc và công nghệ","Hoạt động chuyên môn, khoahọc và công nghệ","Hoạt động chuyên môn, khoahọc và công nghệ",1.634.569,"0,33",2.533.769,"0,70",1634569.0,0.33,2533769.0,0.7
Hoạt động hành chính và dịchvụ hỗ trợ,Hoạt động hành chính và dịchvụ hỗ trợ,Hoạt động hành chính và dịchvụ hỗ trợ,1.495.928,"0,30",1.392.211,"0,38",1495928.0,0.3,1392211.0,0.38
"Hoạt động của Đảng Cộng sản,tổ chức chính trị - xã hội, quảnlý Nhà nước, an ninh quốcphòng; bảo đảm xã hội bất buộc","Hoạt động của Đảng Cộng sản,tổ chức chính trị - xã hội, quảnlý Nhà nước, an ninh quốcphòng; bảo đảm xã hội bất buộc","Hoạt động của Đảng Cộng sản,tổ chức chính trị - xã hội, quảnlý Nhà nước, an ninh quốcphòng; bảo đảm xã hội bất buộc",4.870,"0,00",4.411,"0,00",4870.0,0.0,4411.0,0.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,2.645.282,"0,53",214.772,"0,06",2645282.0,0.53,214772.0,0.06
Y tế và hoạt động trợ giúp xãhội,Y tế và hoạt động trợ giúp xãhội,Y tế và hoạt động trợ giúp xãhội,1.219.198,"0,25",458.645,"0,13",1219198.0,0.25,458645.0,0.13
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",3.833.876,"0,77",1.620.380,"0,45",3833876.0,0.77,1620380.0,0.45
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,2.012.512,"0,41",1.174.612,"0,32",2012512.0,0.41,1174612.0,0.32
"Hoạt động làm thuê các côngviệc trong hộ gia đình, sân xuấtsản phẩm vật chất và dịch vụ tựtiêu dùng của hộ gia đình","Hoạt động làm thuê các côngviệc trong hộ gia đình, sân xuấtsản phẩm vật chất và dịch vụ tựtiêu dùng của hộ gia đình","Hoạt động làm thuê các côngviệc trong hộ gia đình, sân xuấtsản phẩm vật chất và dịch vụ tựtiêu dùng của hộ gia đình",141.761.303,"28,57",97.111.348,"26,85",141761303.0,28.57,97111348.0,26.85
"Cho vay cá nhân đề mua nhà ở,nhận quyền sử dụng đất để xâynhà ở","Cho vay cá nhân đề mua nhà ở,nhận quyền sử dụng đất để xâynhà ở","Cho vay cá nhân đề mua nhà ở,nhận quyền sử dụng đất để xâynhà ở",85.785.626,"17,28",82.922.490,"22,93",85785626.0,17.28,82922490.0,22.93
,,,496.409.738,100,361.673.097,100,496409738.0,100.0,361673097.0,100.0
