row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động Triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán Triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,Giá trị ghi sổ > Giá trị hợp lý Triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động Triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán Triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.284.990,-,-,2.284.990,2.284.990,,,2284990.0,,,2284990.0,2284990.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,7.891.943,-,-,7.891.943,(*),,,7891943.0,,,7891943.0,
Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,-,-,109.129.247,-,-,109.129.247,(*),,,109129247.0,,,109129247.0,
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,581.548,-,-,-,-,581.548,(*),581548.0,,,,,581548.0,
Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,-,503.616.814,-,-,503.616.814,(*),,,503616814.0,,,503616814.0,
Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,-,-,-,87.541.117,-,87.541.117,(*),,,,87541117.0,,87541117.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,-,4.350.437,-,-,-,4.350.437,(*),,4350437.0,,,,4350437.0,
"Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,189.210,-,189.210,(*),,,,189210.0,,189210.0,
Tài sân tài chính khác,Tài sân tài chính khác,Tài sân tài chính khác,1.131.208,-,37.475.820,1.610.283,-,40.217.311,(*),1131208.0,,37475820.0,1610283.0,,40217311.0,
,,,1.712.756,4.350.437,660.398.814,89.340.610,-,755.802.617,,1712756.0,4350437.0,660398814.0,89340610.0,,755802617.0,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,-,-,4.118.311,4.118.311,(*),,,,,4118311.0,4118311.0,
"Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,-,-,145.966.300,145.966.300,(*),,,,,145966300.0,145966300.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,443.558.250,443.558.250,(*),,,,,443558250.0,443558250.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,127.621,-,-,-,-,127.621,,127621.0,,,,,127621.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro",-,-,-,-,22.045,22.045,(*),,,,,22045.0,22045.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,27.022.795,27.022.795,(*),,,,,27022795.0,27022795.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,1.246.059,-,-,-,17.140.753,18.386.812,(*),1246059.0,,,,17140753.0,18386812.0,
,,,1.373.680,-,-,-,637.828.454,639.202.134,,1373680.0,,,,637828454.0,639202134.0,
