row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023%/năm,Ngày 31 tháng 12năm 2022%/năm,numeric__Ngày 31 tháng 12năm 2023%/năm,numeric__Ngày 31 tháng 12năm 2022%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"1,00 - 4,50","4,00 - 10,75",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng VND > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"5,20","0,01 - 4,25",5.2,
Cấp tín dụng bằng VND,Cấp tín dụng bằng VND,Cấp tín dụng bằng VND,"1,70 - 9,30","4,00 - 10,34",,
Cấp tín dụng bằng ngoại tệ,Cấp tín dụng bằng ngoại tệ,Cấp tín dụng bằng ngoại tệ,Không áp dụng,Không áp dụng,,
