row_label_raw,row_label_full,col_0,Giá trị số sách > Ngày 31 tháng 12năm 2023,Giá trị số sách > Ngày 31 tháng 12năm 2022(Trình bày lại),numeric__Giá trị số sách > Ngày 31 tháng 12năm 2023,numeric__Giá trị số sách > Ngày 31 tháng 12năm 2022(Trình bày lại)
,,,Triệu đồng,Triệu đồng,,
Bất động sản,Bất động sản,Bất động sản,585.701.325,571.890.249,585701325.0,571890249.0
Động sản,Động sản,Động sản,82.728.982,78.130.373,82728982.0,78130373.0
Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,79.606.408,93.874.608,79606408.0,93874608.0
Các tài sản bảo đảm khác,Các tài sản bảo đảm khác,Các tài sản bảo đảm khác,844.313.206,608.143.647,844313206.0,608143647.0
,,,1.592.349.921,1.352.038.877,1592349921.0,1352038877.0
