row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5
,,,Trên 3 thángTriệu đồng,Đến 3 thángTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.284.990,-,-,-,-,2.284.990,,,2284990.0,,,,,2284990.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,7.891.943,-,-,-,-,7.891.943,,,7891943.0,,,,,7891943.0
Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tài sản > Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,-,-,86.820.802,18.080.597,4.227.848,-,-,109.129.247,,,86820802.0,18080597.0,4227848.0,,,109129247.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,581.548,-,-,-,-,581.548,,,581548.0,,,,,581548.0
Cho vay khách hàng và mua nợ – gộp,Tài sản > Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,4.485.322,1.710.024,70.908.745,42.844.276,140.978.997,167.634.105,75.055.345,503.616.814,4485322.0,1710024.0,70908745.0,42844276.0,140978997.0,167634105.0,75055345.0,503616814.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,317.000,247.965,5.368.894,26.049.026,31.455.208,28.453.461,91.891.554,,317000.0,247965.0,5368894.0,26049026.0,31455208.0,28453461.0,91891554.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,21.608.000,21.608.000,,,,,,,21608000.0,21608000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.569.669,1.569.669,,,,,,,1569669.0,1569669.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,122.063,-,25.909.436,9.608.438,10.711.938,-,-,46.351.875,122063.0,,25909436.0,9608438.0,10711938.0,,,46351875.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.607.385,2.027.024,194.645.429,75.902.205,181.967.809,199.089.313,126.686.475,784.925.640,4607385.0,2027024.0,194645429.0,75902205.0,181967809.0,199089313.0,126686475.0,784925640.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
