row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2023 Triệu đồng,Ngày 31 tháng 12 năm 2022 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2023 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2022 Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.284.990,2.658.493,5.0,2284990.0,2658493.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,7.891.943,9.387.960,6.0,7891943.0,9387960.0
"Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác",,109.129.247,61.078.623,,109129247.0,61078623.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,96.334.542,53.885.009,71.0,96334542.0,53885009.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,12.794.705,7.193.614,72.0,12794705.0,7193614.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,581.548,-,8.0,581548.0,
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,581.548,-,,581548.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,128.374,9.0,,128374.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,488.029.291,356.164.072,,488029291.0,356164072.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,496.409.738,361.673.097,10.0,496409738.0,361673097.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(8.380.447),(5.509.025),11.0,-8380447.0,-5509025.0
