row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2023%/năm,Ngày 31 tháng12 năm 2022%/năm,numeric__Ngày 31 tháng12 năm 2023%/năm,numeric__Ngày 31 tháng12 năm 2022%/năm
Tiền gửi có kỳ hạn của các TCTD khác bằng VND,Tiền gửi có kỳ hạn của các TCTD khác bằng VND,Tiền gửi có kỳ hạn của các TCTD khác bằng VND,"1,00 - 4,50","4,00 - 10,50",,
Tiền gửi có kỳ hạn của các TCTD khác bằng ngoại tệ,Tiền gửi có kỳ hạn của các TCTD khác bằng ngoại tệ,Tiền gửi có kỳ hạn của các TCTD khác bằng ngoại tệ,"5,10 - 5,20","1,10 - 4,80",,
"Tiền vay các TCTC, TCTD khác bằng VND","Tiền vay các TCTC, TCTD khác bằng VND","Tiền vay các TCTC, TCTD khác bằng VND","1,40 - 9,58","2,50 - 10,50",,
"Tiền vay các TCTC, TCTD khác bằng ngoại tệ","Tiền vay các TCTC, TCTD khác bằng ngoại tệ","Tiền vay các TCTC, TCTD khác bằng ngoại tệ","0,75 - 8,61","0,75 - 8,06",,
