row_label_raw,row_label_full,col_0,Chưa quá hạnTriệu đồng,Đã quá hạn và chưa bị giảm giáTriệu đồng,Đã quá hạn và đã trích lập dự phòngTriệu đồng,Tổng cộngTriệu đồng,numeric__Chưa quá hạnTriệu đồng,numeric__Đã quá hạn và chưa bị giảm giáTriệu đồng,numeric__Đã quá hạn và đã trích lập dự phòngTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,109.129.247,-,-,109.129.247,109129247.0,,,109129247.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,96.334.542,-,-,96.334.542,96334542.0,,,96334542.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,12.794.705,-,-,12.794.705,12794705.0,,,12794705.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,581.548,-,-,581.548,581548.0,,,581548.0
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,456.545.627,3.956.525,43.114.662,503.616.814,456545627.0,3956525.0,43114662.0,503616814.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,79.814.554,8.871.000,3.206.000,91.891.554,79814554.0,8871000.0,3206000.0,91891554.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,75.464.117,8.871.000,3.206.000,87.541.117,75464117.0,8871000.0,3206000.0,87541117.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,4.350.437,-,-,4.350.437,4350437.0,,,4350437.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,46.229.812,-,122.063,46.351.875,46229812.0,,122063.0,46351875.0
Tổng cộng,Tổng cộng,Tổng cộng,692.300.788,12.827.525,46.442.725,751.571.038,692300788.0,12827525.0,46442725.0,751571038.0
