row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000.000.000,-,71.972.404.970,3.071.972.404.970,3000000000000.0,,71972404970.0,3071972404970.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,223.880.600.000,1.535.501.732.805,-,1.759.382.332.805,223880600000.0,1535501732805.0,,1759382332805.0
Phát hành cổ phiếu thường từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phiếu thường từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phiếu thường từ nguồn thẳng dư vốn cổ phần,1.289.552.240.000,(1.289.552.240.000),-,-,1289552240000.0,-1289552240000.0,,
Cổ tức bằng tiền,Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,(967.164.180.000),(967.164.180.000),,,-967164180000.0,-967164180000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.816.779.162.771,1.816.779.162.771,,,1816779162771.0,1816779162771.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,4.513.432.840.000,245.949.492.805,921.587.387.741,5.680.969.720.546,4513432840000.0,245949492805.0,921587387741.0,5680969720546.0
Chia cổ tức bằng cổ phiếu từ lợi nhuận chưa phân phối (Thuyết minh 25),Chia cổ tức bằng cổ phiếu từ lợi nhuận chưa phân phối (Thuyết minh 25),Chia cổ tức bằng cổ phiếu từ lợi nhuận chưa phân phối (Thuyết minh 25),902.680.500.000,-,(902.680.500.000),-,902680500000.0,,-902680500000.0,
Cổ tức bằng tiền (Thuyết minh 25),Cổ tức bằng tiền (Thuyết minh 25),Cổ tức bằng tiền (Thuyết minh 25),-,-,(1.985.909.236.000),(1.985.909.236.000),,,-1985909236000.0,-1985909236000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,2.564.576.670.630,2.564.576.670.630,,,2564576670630.0,2564576670630.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,5.416.113.340.000,245.949.492.805,597.574.322.371,6.259.637.155.176,5416113340000.0,245949492805.0,597574322371.0,6259637155176.0
