row_label_raw,row_label_full,col_0,Chi phí tră trước dài hạn,Chi phí tră trước dài hạn_1,Chi phí tră trước dài hạn_2,Chi phí tră trước dài hạn_3,Chi phí tră trước dài hạn_4,numeric__Chi phí tră trước dài hạn,numeric__Chi phí tră trước dài hạn_1,numeric__Chi phí tră trước dài hạn_2,numeric__Chi phí tră trước dài hạn_3,numeric__Chi phí tră trước dài hạn_4
,,,Chi phí bảo dưỡng tàu bay VND,Chi phí hoàn trả tài sản thuê VND,Chi phí kiểm tra và sửa chữa lớn VND,"Phụ tùng xoay vòng, công cụ và dụng cụ VND",Tổng VND,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.453.797.069.491,320.711.118.911,105.897.995.444,136.909.226.552,5.017.315.410.398,4453797069491.0,320711118911.0,105897995444.0,136909226552.0,5017315410398.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,3.267.477.527.187,354.906.941.236,111.933.122.275,50.032.257.667,3.784.349.848.365,3267477527187.0,354906941236.0,111933122275.0,50032257667.0,3784349848365.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(1.694.693.404.561),(109.635.394.473),(136.969.273.440),(73.401.312.675),(2.014.699.385.149),-1694693404561.0,-109635394473.0,-136969273440.0,-73401312675.0,-2014699385149.0
Xóa số trong năm,Xóa số trong năm,Xóa số trong năm,(305.927.670.654),-,-,-,(305.927.670.654),-305927670654.0,,,,-305927670654.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,27.575.655.996,(27.575.655.996),-,,,27575655996.0,-27575655996.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.720.653.521.463,565.982.665.674,108.437.500.275,85.964.515.548,6.481.038.202.960,5720653521463.0,565982665674.0,108437500275.0,85964515548.0,6481038202960.0
