row_label_raw,row_label_full,STT,Ngân hàng,Số cuối năm,Số đầu năm,numeric__Ngân hàng,numeric__Số cuối năm,numeric__Số đầu năm
STT,STT,STT,Ngân hàng,VND,VND,,,
1.,STT > 1.,1.,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I (vay ngắn hạn),959.712.715.947,460.235.886.338,,959712715947.0,460235886338.0
2.,STT > 2.,2.,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Hà Nội,696.570.462.014,599.911.216.435,,696570462014.0,599911216435.0
3.,STT > 3.,3.,Ngân hàng TNHH MTV HSBC (Việt Nam),589.810.670.034,344.915.670.555,,589810670034.0,344915670555.0
4.,STT > 4.,4.,Ngân hàng TMCP Quân Đội - CN Hoàn Kiểm,528.693.472.413,249.590.773.099,,528693472413.0,249590773099.0
5.,STT > 5.,5.,Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Hội sở,189.658.098.026,-,,189658098026.0,
6.,STT > 6.,6.,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,75.874.075.402,334.814.242.685,,75874075402.0,334814242685.0
7.,STT > 7.,7.,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I (vay thấu chi),-,362.639.454.601,,,362639454601.0
8.,STT > 8.,8.,Ngân hàng TMCP Hàng Hải Việt Nam,-,124.937.196.491,,,124937196491.0
,,,,3.040.319.493.836,2.477.044.440.204,,3040319493836.0,2477044440204.0
