row_label_raw,row_label_full,STT,Ngân hàng,Số cuối năm,Số đầu năm,numeric__Ngân hàng,numeric__Số cuối năm,numeric__Số đầu năm
STT,STT,STT,Ngân hàng,VND,VND,,,
1.,STT > 1.,1.,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I,1.779.293.878.418,518.065.565.774,,1779293878418.0,518065565774.0
2.,STT > 2.,2.,Ngân hàng quốc tế VIB - Chi nhánh Ba Đình,700.000.000.000,-,,700000000000.0,
3.,STT > 3.,3.,Ngân hàng TNHH MTV HSBC Việt Nam,400.000.000.000,400.000.000.000,,400000000000.0,400000000000.0
4.,STT > 4.,4.,Ngân Hàng Union Bank of Taiwan,488.000.000.000,488.000.000.000,,488000000000.0,488000000000.0
5.,STT > 5.,5.,Ngân hàng Cathay United Bank- Chỉ nhánh Hồ Chí Minh,-,166.600.000.000,,,166600000000.0
,,,,3.367.293.878.418,1.572.665.565.774,,3367293878418.0,1572665565774.0
,,,Trong đó:,Trong đó:,Trong đó:,,,
,,,Vay dài hạn đến hạn trả,500.000.000.000,33.320.000.000,,500000000000.0,33320000000.0
,,,Vay dài hạn,2.867.293.878.418,1.539.345.565.774,,2867293878418.0,1539345565774.0
