row_label_raw,row_label_full,col_0,Số tiền (VND),numeric__Số tiền (VND)
"Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm:","Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm:","Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm:","Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm:",
- Công ty TNHH Công nghiệp Titan (Hưng Yên),"Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm: > - Công ty TNHH Công nghiệp Titan (Hưng Yên)",- Công ty TNHH Công nghiệp Titan (Hưng Yên),194.897.402.048,194897402048.0
- Công ty TNHH Công nghiệp Titan (Quảng Ninh),"Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm: > - Công ty TNHH Công nghiệp Titan (Quảng Ninh)",- Công ty TNHH Công nghiệp Titan (Quảng Ninh),26.668.154.401,26668154401.0
- Công ty TNHH Công nghiệp Titan Corporation (Bắc Ninh) 1,"Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm: > - Công ty TNHH Công nghiệp Titan Corporation (Bắc Ninh) 1",- Công ty TNHH Công nghiệp Titan Corporation (Bắc Ninh) 1,121.394.209.160,121394209160.0
- Công ty TNHH Công nghiệp Titan Corporation 2 (Bắc Ninh),"Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm: > - Công ty TNHH Công nghiệp Titan Corporation 2 (Bắc Ninh)",- Công ty TNHH Công nghiệp Titan Corporation 2 (Bắc Ninh),267.648.146.591,267648146591.0
- Công ty TNHH Công nghiệp Titan Corporation 3 (Bắc Ninh),"Chuyển khoản cho Nhóm Công ty Titan vay cho Hạ Tầng GELEX, bao gồm: > - Công ty TNHH Công nghiệp Titan Corporation 3 (Bắc Ninh)",- Công ty TNHH Công nghiệp Titan Corporation 3 (Bắc Ninh),125.707.728.448,125707728448.0
,,,736.315.640.648,736315640648.0
Số cho vay trên được xử lý tương ứng với các khoản sau:,Số cho vay trên được xử lý tương ứng với các khoản sau:,Số cho vay trên được xử lý tương ứng với các khoản sau:,Số cho vay trên được xử lý tương ứng với các khoản sau:,
- Bù trừ công nợ với khoản vay Hạ tầng GELEX - phần gốc vay,Số cho vay trên được xử lý tương ứng với các khoản sau: > - Bù trừ công nợ với khoản vay Hạ tầng GELEX - phần gốc vay,- Bù trừ công nợ với khoản vay Hạ tầng GELEX - phần gốc vay,674.723.582.700,674723582700.0
- Bù trừ công nợ với khoản vay Hạ tầng GELEX - phần lãi vay,Số cho vay trên được xử lý tương ứng với các khoản sau: > - Bù trừ công nợ với khoản vay Hạ tầng GELEX - phần lãi vay,- Bù trừ công nợ với khoản vay Hạ tầng GELEX - phần lãi vay,30.324.921.412,30324921412.0
- Phần chênh lệch Hạ Tầng GELEX thanh toán qua chuyển khoản cho Công ty ngày 15 tháng 9 năm 2025,Số cho vay trên được xử lý tương ứng với các khoản sau: > - Phần chênh lệch Hạ Tầng GELEX thanh toán qua chuyển khoản cho Công ty ngày 15 tháng 9 năm 2025,- Phần chênh lệch Hạ Tầng GELEX thanh toán qua chuyển khoản cho Công ty ngày 15 tháng 9 năm 2025,31.267.136.536,31267136536.0
,,,736.315.640.648,736315640648.0
