row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,6.578.897.753.292,3.974.856.217.609,,1.0,26.0,6578897753292.0,3974856217609.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,26,6.578.897.753.292,3.974.856.217.609,,10.0,26.0,6578897753292.0,3974856217609.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,27,6.441.764.895.265,3.852.520.207.121,,11.0,27.0,6441764895265.0,3852520207121.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,137.132.858.027,122.336.010.488,,20.0,,137132858027.0,122336010488.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,28,4.309.798.845.283,844.448.755.480,,21.0,28.0,4309798845283.0,844448755480.0
6.,6.,6.,Chỉ phí tài chính,22,29,675.497.376.002,568.663.742.514,,22.0,29.0,675497376002.0,568663742514.0
,,,- Trong đó: Chi phí lãi vay,23,,489.861.490.654,426.207.666.117,,23.0,,489861490654.0,426207666117.0
7.,7.,7.,Chỉ phí bán hàng,25,30,11.141.225.681,7.543.599.432,,25.0,30.0,11141225681.0,7543599432.0
8.,8.,8.,Chỉ phí quản lý doanh nghiệp,26,30,317.320.645.827,268.576.351.692,,26.0,30.0,317320645827.0,268576351692.0
9.,9.,9.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26),30,,3.442.972.455.800,122.001.072.330,,30.0,,3442972455800.0,122001072330.0
10.,10.,10.,Thu nhập khác,31,,411.134.406,1.569.006.058,,31.0,,411134406.0,1569006058.0
11.,11.,11.,Chỉ phí khác,32,,73.824.775,72.382.501,,32.0,,73824775.0,72382501.0
12.,12.,12.,Lợi nhuận khác (40=31-32),40,,337.309.631,1.496.623.557,,40.0,,337309631.0,1496623557.0
13.,13.,13.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.443.309.765.431,123.497.695.887,,50.0,,3443309765431.0,123497695887.0
14.,14.,14.,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,32,244.199.827.004,,,51.0,32.0,244199827004.0,
15.,15.,15.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,3.199.109.938.427,123.497.695.887,,60.0,,3199109938427.0,123497695887.0
