row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Phải thu lãi tiền gửi, tiền cho vay","a. Ngắn hạn > Phải thu lãi tiền gửi, tiền cho vay","Phải thu lãi tiền gửi, tiền cho vay",47.128.239.571,110.111.899.118,47128239571.0,110111899118.0
Đặt cọc hợp tác đầu tư (i),a. Ngắn hạn > Đặt cọc hợp tác đầu tư (i),Đặt cọc hợp tác đầu tư (i),30.000.000.000,30.000.000.000,30000000000.0,30000000000.0
Phải thu bán chứng khoán kinh doanh,a. Ngắn hạn > Phải thu bán chứng khoán kinh doanh,Phải thu bán chứng khoán kinh doanh,13.416.120.500,-,13416120500.0,
Phải thu tạm ứng,a. Ngắn hạn > Phải thu tạm ứng,Phải thu tạm ứng,667.934.660,410.000.000,667934660.0,410000000.0
Phải thu lãi đặt cọc hợp tác đầu tư,a. Ngắn hạn > Phải thu lãi đặt cọc hợp tác đầu tư,Phải thu lãi đặt cọc hợp tác đầu tư,3.000.000.000,3.000.000.000,3000000000.0,3000000000.0
"Ký cược, ký quỹ","a. Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",1.582.243.634,984.243.634,1582243634.0,984243634.0
Phải thu về cổ tức và lợi nhuận được chia,a. Ngắn hạn > Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,-,239.995.600.000,,239995600000.0
Phải thu khác,a. Ngắn hạn > Phải thu khác,Phải thu khác,1.446.663.147,70.277.107,1446663147.0,70277107.0
,,,97.241.201.512,384.572.019.859,97241201512.0,384572019859.0
Trong đó: Phải thu ngắn hạn khác từ các bên liên quan (chi tiết tại Thuyết minh số 33),a. Ngắn hạn > Trong đó: Phải thu ngắn hạn khác từ các bên liên quan (chi tiết tại Thuyết minh số 33),Trong đó: Phải thu ngắn hạn khác từ các bên liên quan (chi tiết tại Thuyết minh số 33),44.320.529.740,337.751.686.478,44320529740.0,337751686478.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Ký cược, ký quỹ (ii)","b. Dài hạn > Ký cược, ký quỹ (ii)","Ký cược, ký quỹ (ii)",15.056.824.092,14.810.064.000,15056824092.0,14810064000.0
,,,15.056.824.092,14.810.064.000,15056824092.0,14810064000.0
