row_label_raw,row_label_full,col_0,Năm trướcSố năm,numeric__Năm trướcSố năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",20 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",3 - 20,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,5 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 10,
