row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,10.108.267.341.685,8.831.208.078.774,,300.0,,10108267341685.0,8831208078774.0
I.,I.,I.,Nợ ngắn hạn,310,,5.886.693.111.052,5.150.171.436.132,,310.0,,5886693111052.0,5150171436132.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,624.380.734.980,713.529.629.313,,311.0,18.0,624380734980.0,713529629313.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,2.037.307.147,193.978.358,,312.0,,2037307147.0,193978358.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,245.550.302.839,881.789.413,,313.0,19.0,245550302839.0,881789413.0
4.,4.,4.,Phải trả người lao động,314,,34.515.852.420,23.477.689.438,,314.0,,34515852420.0,23477689438.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,20,54.988.852.873,14.505.610.065,,315.0,20.0,54988852873.0,14505610065.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,21,48.629.079.847,16.035.324.998,,318.0,21.0,48629079847.0,16035324998.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,25.805.743.395,58.734.901.220,,319.0,22.0,25805743395.0,58734901220.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,4.830.069.410.337,4.308.962.408.336,,320.0,23.0,4830069410337.0,4308962408336.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,20.715.827.214,13.850.104.991,,322.0,,20715827214.0,13850104991.0
II.,II.,II.,Nợ dài hạn,330,,4.221.574.230.633,3.681.036.642.642,,330.0,,4221574230633.0,3681036642642.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,21,162.739.091.804,168.047.924.846,,336.0,21.0,162739091804.0,168047924846.0
2.,2.,2.,Phải trả dài hạn khác,337,22,52.389.197.070,17.203.072.853,,337.0,22.0,52389197070.0,17203072853.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,23,4.006.445.941.759,3.495.785.644.943,,338.0,23.0,4006445941759.0,3495785644943.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,12.459.915.325.570,10.429.720.442.043,,400.0,,12459915325570.0,10429720442043.0
I.,I.,I.,Vốn chủ sở hữu,410,24,12.459.915.325.570,10.429.720.442.043,,410.0,24.0,12459915325570.0,10429720442043.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,9.023.989.480.000,8.594.297.930.000,,411.0,,9023989480000.0,8594297930000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,9.023.989.480.000,8.594.297.930.000,,,,9023989480000.0,8594297930000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,662.912.856.718,663.003.856.718,,412.0,,662912856718.0,663003856718.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,2.773.012.988.852,1.172.418.655.325,,421.0,,2773012988852.0,1172418655325.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,295.822.208.825,1.048.920.959.438,,,,295822208825.0,1048920959438.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,2.477.190.780.027,123.497.695.887,,,,2477190780027.0,123497695887.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,22.568.182.667.255,19.260.928.520.817,,440.0,,22568182667255.0,19260928520817.0
,,,Lương Diệu Linh Người lập biểu,Hoàng Hưng Kế toán trưởng,Hoàng Hưng Kế toán trưởng,Lê Tuấn Anh Phó Tổng Giám đốcNgày 03 tháng 3 năm 2026,Lê Tuấn Anh Phó Tổng Giám đốcNgày 03 tháng 3 năm 2026,,,,,
