row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,4.275.642.408.336,4.275.642.408.336,14.009.390.196.624,13.954.963.194.623,4.330.069.410.337,4.330.069.410.337,4275642408336.0,4275642408336.0,14009390196624.0,13954963194623.0,4330069410337.0,4330069410337.0
Vay ngắn hạn ngân hàng (i),Vay ngắn hạn ngân hàng (i),Vay ngắn hạn ngân hàng (i),2.477.044.440.204,2.477.044.440.204,6.449.983.491.375,5.886.708.437.743,3.040.319.493.836,3.040.319.493.836,2477044440204.0,2477044440204.0,6449983491375.0,5886708437743.0,3040319493836.0,3040319493836.0
Vay ngắn hạn là các bên liên quan (Chi tiết trình bày tại Thuyết minh số 33),Vay ngắn hạn là các bên liên quan (Chi tiết trình bày tại Thuyết minh số 33),Vay ngắn hạn là các bên liên quan (Chi tiết trình bày tại Thuyết minh số 33),1.721.323.582.700,1.721.323.582.700,2.415.000.000.000,3.331.323.582.700,805.000.000.000,805.000.000.000,1721323582700.0,1721323582700.0,2415000000000.0,3331323582700.0,805000000000.0,805000000000.0
Vay ngắn hạn công ty khác (iii),Vay ngắn hạn công ty khác (iii),Vay ngắn hạn công ty khác (iii),77.274.385.432,77.274.385.432,5.144.406.705.249,4.736.931.174.180,484.749.916.501,484.749.916.501,77274385432.0,77274385432.0,5144406705249.0,4736931174180.0,484749916501.0,484749916501.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,33.320.000.000,33.320.000.000,1.353.320.000.000,886.640.000.000,500.000.000.000,500.000.000.000,33320000000.0,33320000000.0,1353320000000.0,886640000000.0,500000000000.0,500000000000.0
Vay ngân hàng dài hạn đến hạn trả (i),Vay ngân hàng dài hạn đến hạn trả (i),Vay ngân hàng dài hạn đến hạn trả (i),33.320.000.000,33.320.000.000,533.320.000.000,66.640.000.000,500.000.000.000,500.000.000.000,33320000000.0,33320000000.0,533320000000.0,66640000000.0,500000000000.0,500000000000.0
Vay dài hạn là các bên liên quan đến hạn trả,Vay dài hạn là các bên liên quan đến hạn trả,Vay dài hạn là các bên liên quan đến hạn trả,-,-,820.000.000.000,820.000.000.000,-,-,,,820000000000.0,820000000000.0,,
,,,4.308.962.408.336,4.308.962.408.336,15.362.710.196.624,14.841.603.194.623,4.830.069.410.337,4.830.069.410.337,4308962408336.0,4308962408336.0,15362710196624.0,14841603194623.0,4830069410337.0,4830069410337.0
,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,
,,,Giá trị,VND Số có khả năng trả nợ,Tăng,VND Giảm,Giá trị,VND Số có khả năng trả nợ,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,,,,,
Vay dài hạn ngân hàng (i),Vay dài hạn > Vay dài hạn ngân hàng (i),Vay dài hạn ngân hàng (i),1.539.345.565.774,1.539.345.565.774,1.954.573.312.644,626.625.000.000,2.867.293.878.418,2.867.293.878.418,1539345565774.0,1539345565774.0,1954573312644.0,626625000000.0,2867293878418.0,2867293878418.0
Trái phiếu phát hành (ii),Vay dài hạn > Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),1.136.440.079.169,1.136.440.079.169,2.711.984.172,-,1.139.152.063.341,1.139.152.063.341,1136440079169.0,1136440079169.0,2711984172.0,,1139152063341.0,1139152063341.0
Vay dài hạn là các bên liên quan (Chi tiết trình bày tại Thuyết minh số 33),Vay dài hạn > Vay dài hạn là các bên liên quan (Chi tiết trình bày tại Thuyết minh số 33),Vay dài hạn là các bên liên quan (Chi tiết trình bày tại Thuyết minh số 33),820.000.000.000,820.000.000.000,-,820.000.000.000,-,-,820000000000.0,820000000000.0,,820000000000.0,,
,,,3.495.785.644.943,3.495.785.644.943,1.957.285.296.816,1.446.625.000.000,4.006.445.941.759,4.006.445.941.759,3495785644943.0,3495785644943.0,1957285296816.0,1446625000000.0,4006445941759.0,4006445941759.0
