row_label_raw,row_label_full,STT,Tên công ty con/công ty liên doanh/Công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con/công ty liên doanh/Công ty liên kết,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
6.,6.,6.,Công ty Cổ phầnViglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
7.,7.,7.,Công ty Cổ phầnViglacera Hà Nội,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
8.,8.,8.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","96,19%","Sản xuất và kinh doanh gạch, panel, bê tông khí chủng áp",,,0.9619,0.9619,
9.,9.,9.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,,0.51,0.51,
10.,10.,10.,Công ty Cổ phầnViglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5047999999999999,0.5047999999999999,
10.1,10.1,10.1,Công ty TNHH MTVThường mại Viglacera Hạ Long (*),Quảng Ninh,"50,48%","100,00%",Kinh doanh vật liệu xây dựng,,,0.5047999999999999,1.0,
10.2,10.2,10.2,Công ty Cổ phần GạchClinker Viglacera (*),Quảng Ninh,"51,02%","99,92%",Sản xuất vật liệu xây dựng,,,0.5102,0.9992,
11.,11.,11.,Công ty Cổ phần Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5592,0.5592,
11.1,11.1,11.1,Công ty Cổ phầnViglacera Can Lộc (*) (**),Hà Tĩnh,"57,51%","100,00%",Sản xuất vật liệu xây dựng,,,0.5751,1.0,
12.,12.,12.,Công ty Cổ phần 382 Đông Anh,Hà Nội,"57,51%","100,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5751,1.0,
13.,13.,13.,Công ty Cổ phần GốmXây dựng Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
14.,14.,14.,Công ty Cổ phần Tư vấnViglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,,0.7689,0.7689,
15.,15.,15.,Công ty Cổ phần Phát triển Khu Công nghiệpViglacera Yên Mỹ,Hưng Yên,"60,00%","60,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.6,0.6,
15.1.,15.1.,15.1.,Công ty TNHH Thi côngHạ tầng Viglacera Yên Mỹ (*) (***),Hưng Yên,"60,00%","100,00%",Đầu tư xây dựng,,,0.6,1.0,
16.,16.,16.,Công ty ViMariel - CTCP,Cuba,"99,94%","99,95%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.9994,0.9995,
17.,17.,17.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,TP. Hồ ChíMinh (trước đây là Bà Rịa –Vũng Tàu),"65,00%","65,00%",Sản xuất các sản phẩm kính,,,0.65,0.65,
18.,18.,18.,Công ty Cổ phầnViglacera Thái Nguyên,Thái Nguyên,"51,00%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.51,0.51,
19.,19.,19.,Công ty TNHH Kính nổi Việt Nam,Bắc Ninh,"100,00%","100,00%",Sản xuất các sản phẩm kính,,,1.0,1.0,
20.,20.,20.,Công ty Cổ phầnViglacera Hưng Yên,Hưng Yên,"51,00%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.51,0.51,
21.,21.,21.,Công ty Cổ phần Đầu tư VIHOCE Tiên Dương,Hà Nội,"55,00%","55,00%",Đầu tư và kinh doanh bất động sản,,,0.55,0.55,
22.,22.,22.,Công ty Cổ phầnVigalcera Phú Thọ,Phú Thọ,"52,02%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.5202,0.51,
23.,23.,23.,Công ty Cổ phần Kinh doanh Gạch ốp látViglacera (*),Hà Nội,"51,02%","100,00%",Kinh doanh các sản phẩm gạch ốp lát,,,0.5102,1.0,
