row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,12.554.753.660.870,12.698.224.133.419,,200.0,,12554753660870.0,12698224133419.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,210.181.824.092,1.059.882.550.247,,210.0,,210181824092.0,1059882550247.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,9,195.125.000.000,1.045.072.486.247,,215.0,9.0,195125000000.0,1045072486247.0
2.,2.,2.,Phải thu dài hạn khác,216,10,15.056.824.092,14.810.064.000,,216.0,10.0,15056824092.0,14810064000.0
II.,II.,II.,Tài sản cố định,220,,63.504.836.219,55.872.834.664,,220.0,,63504836219.0,55872834664.0
1.,1.,1.,Tài sản cố định hữu hình,221,14,57.678.297.701,55.037.435.021,,221.0,14.0,57678297701.0,55037435021.0
,,,- Nguyên giá,222,,97.983.124.514,92.710.632.399,,222.0,,97983124514.0,92710632399.0
,,,- Giá trị hao mòn lũy kế,223,,(40.304.826.813),(37.673.197.378),,223.0,,-40304826813.0,-37673197378.0
2.,2.,2.,Tài sản cố định vô hình,227,,5.826.538.518,835.399.643,,227.0,,5826538518.0,835399643.0
,,,- Nguyên giá,228,,6.936.563.538,1.428.323.538,,228.0,,6936563538.0,1428323538.0
,,,- Giá trị hao mòn lũy kế,229,,(1.110.025.020),(592.923.895),,229.0,,-1110025020.0,-592923895.0
III.,III.,III.,Bất động sản đầu tư,230,15,751.561.274.329,233.019.663.021,,230.0,15.0,751561274329.0,233019663021.0
,,,- Nguyên giá,231,,914.432.758.160,367.937.084.987,,231.0,,914432758160.0,367937084987.0
,,,- Giá trị hao mòn lũy kế,232,,(162.871.483.831),(134.917.421.966),,232.0,,-162871483831.0,-134917421966.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,2.602.240.319.761,1.393.925.737.633,,240.0,,2602240319761.0,1393925737633.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,16,2.602.240.319.761,1.393.925.737.633,,242.0,16.0,2602240319761.0,1393925737633.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,17,8.897.300.508.635,9.915.680.781.973,,250.0,17.0,8897300508635.0,9915680781973.0
1.,1.,1.,Đầu tư vào công ty con,251,,8.974.685.884.561,9.251.837.076.877,,251.0,,8974685884561.0,9251837076877.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,-,663.843.705.096,,252.0,,,663843705096.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(77.385.375.926),-,,254.0,,-77385375926.0,
VI.,VI.,VI.,Tài sản dài hạn khác,260,,29.964.897.834,39.842.565.881,,260.0,,29964897834.0,39842565881.0
1.,1.,1.,Chi phí trả trước dài hạn,261,13,29.964.897.834,39.842.565.881,,261.0,13.0,29964897834.0,39842565881.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,22.568.182.667.255,19.260.928.520.817,,270.0,,22568182667255.0,19260928520817.0
