row_label_raw,row_label_full,2016,Nước ngoàiTriệu VND > 2016,Miền BắcTriệu VND > 2016,Miền TrungTriệu VND > 2016,Miền NamTriệu VND > 2016,Tổng cộngTriệu VND > 2016,numeric__Nước ngoàiTriệu VND > 2016,numeric__Miền BắcTriệu VND > 2016,numeric__Miền TrungTriệu VND > 2016,numeric__Miền NamTriệu VND > 2016,numeric__Tổng cộngTriệu VND > 2016
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,215.550,2.585.463,465.820,908.615,4.175.448,215550.0,2585463.0,465820.0,908615.0,4175448.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,15.752,300.093,2.847,19.373,338.065,15752.0,300093.0,2847.0,19373.0,338065.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,4.334,87.288,1.254,9.164,102.040,4334.0,87288.0,1254.0,9164.0,102040.0
Lỗ thuần từ mua bán chứng khoán kinh doanh,Lỗ thuần từ mua bán chứng khoán kinh doanh,Lỗ thuần từ mua bán chứng khoán kinh doanh,-,(10.104),-,-,(10.104),,-10104.0,,,-10104.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,-,10.539,-,-,10.539,,10539.0,,,10539.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.618,345.363,4.538,10.797,364.316,3618.0,345363.0,4538.0,10797.0,364316.0
"Lỗ từ góp vốn, mua cổ phần","Lỗ từ góp vốn, mua cổ phần","Lỗ từ góp vốn, mua cổ phần",-,(14.193),-,-,(14.193),,-14193.0,,,-14193.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(95.296),(1.793.843),(179.763),(438.857),(2.507.759),-95296.0,-1793843.0,-179763.0,-438857.0,-2507759.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,143.958,1.510.606,294.696,509.092,2.458.352,143958.0,1510606.0,294696.0,509092.0,2458352.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(55.487),(1.122.844),(48.309),(75.273),(1.301.913),-55487.0,-1122844.0,-48309.0,-75273.0,-1301913.0
