row_label_raw,row_label_full,col_0,Tỷ lệ trích lập hàng năm,Số dư tối đa,numeric__Tỷ lệ trích lập hàng năm,numeric__Số dư tối đa
Quỹ dự trữ theo luật định,Quỹ dự trữ theo luật định,Quỹ dự trữ theo luật định,10% lợi nhuận sau thuế,Không giới hạn,,
Quỹ phát triển kinh doanh và các quỹ khác,Quỹ phát triển kinh doanh và các quỹ khác,Quỹ phát triển kinh doanh và các quỹ khác,Theo quyết định củaBan Giám đốc,Không giới hạn,,
