row_label_raw,row_label_full,Tại 31 tháng 12 năm 2016(Triệu VND),Quá hạn > Dưới 3 tháng,Quá hạn > Trên 3 tháng,Quá hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 năm đến5 năm,Trong hạn > Trên 5năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Dưới 3 tháng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 năm đến5 năm,numeric__Trong hạn > Trên 5năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.291.694,-,-,-,-,1.291.694,,,1291694.0,,,,,1291694.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.718.757,-,-,-,-,2.718.757,,,2718757.0,,,,,2718757.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,5.137,-,18.921.818,7.317.744,3.896.860,-,-,30.141.559,5137.0,,18921818.0,7317744.0,3896860.0,,,30141559.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,65.382,-,-,-,-,65.382,,,65382.0,,,,,65382.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,44.578,-,-,-,-,44.578,,,44578.0,,,,,44578.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.932.788,2.445.468,10.602.289,15.620.627,55.182.077,44.947.205,30.645.731,162.376.185,2932788.0,2445468.0,10602289.0,15620627.0,55182077.0,44947205.0,30645731.0,162376185.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,150.000,-,133.682,240.974,1.453.233,15.336.115,2.914.346,20.228.350,150000.0,,133682.0,240974.0,1453233.0,15336115.0,2914346.0,20228350.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,229.393,229.393,,,,,,,229393.0,229393.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,3.469.197,452,10.512,193.955,304.751,3.978.867,,,3469197.0,452.0,10512.0,193955.0,304751.0,3978867.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.034.295,-,14.518.431,7.753,61.388,668.259,10.471,16.300.597,1034295.0,,14518431.0,7753.0,61388.0,668259.0,10471.0,16300597.0
,,,4.122.220,2.445.468,51.765.828,23.187.550,60.604.070,61.145.534,34.104.692,237.375.362,4122220.0,2445468.0,51765828.0,23187550.0,60604070.0,61145534.0,34104692.0,237375362.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ phải trả NHNN và các TCTD khác,Nợ phải trả > Nợ phải trả NHNN và các TCTD khác,Nợ phải trả NHNN và các TCTD khác,-,-,20.431.787,9.847.813,5.318.443,277.837,5.972,35.881.852,,,20431787.0,9847813.0,5318443.0,277837.0,5972.0,35881852.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,57.453.274,37.128.279,67.283.471,4.708.374,2.819,166.576.217,,,57453274.0,37128279.0,67283471.0,4708374.0,2819.0,166576217.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,9.041,16.126,104.254,321.735,357.731,808.887,,,9041.0,16126.0,104254.0,321735.0,357731.0,808887.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.901.785,244.268,8.620.909,-,3.000.713,13.767.675,,,1901785.0,244268.0,8620909.0,,3000713.0,13767675.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.681.536,-,-,-,-,3.681.536,,,3681536.0,,,,,3681536.0
,,,-,-,83.477.423,47.236.486,81.327.077,5.307.946,3.367.235,220.716.167,,,83477423.0,47236486.0,81327077.0,5307946.0,3367235.0,220716167.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,4.122.220,2.445.468,(31.711.595),(24.048.936),(20.723.007),55.837.588,30.737.457,16.659.195,4122220.0,2445468.0,-31711595.0,-24048936.0,-20723007.0,55837588.0,30737457.0,16659195.0
