row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm muaTriệu VND,Các điều chỉnh tài sản và nợ phải trảTriệu VND,Giá trị ghi nhận tại thời điểm muaTriệu VND,numeric__Giá trị ghi số trước thời điểm muaTriệu VND,numeric__Các điều chỉnh tài sản và nợ phải trảTriệu VND,numeric__Giá trị ghi nhận tại thời điểm muaTriệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,189,-,189,189.0,,189.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,271.293,-,271.293,271293.0,,271293.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,266.000,-,266.000,266000.0,,266000.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,100.883,-,100.883,100883.0,,100883.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(16.782),-,(16.782),-16782.0,,-16782.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,150.000,-,150.000,150000.0,,150000.0
Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,(75.000),-,(75.000),-75000.0,,-75000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,1.000,-,1.000,1000.0,,1000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(389),,(389),-389.0,,-389.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,19.756,-,19.756,19756.0,,19756.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,1.047,-,1.047,1047.0,,1047.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,334.510,-,334.510,334510.0,,334510.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,(261),-,(261),-261.0,,-261.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,(12.533),-,(12.533),-12533.0,,-12533.0
Tài sản thuần có thể xác định được của VVF,Tài sản thuần có thể xác định được của VVF,Tài sản thuần có thể xác định được của VVF,1.039.713,-,1.039.713,1039713.0,,1039713.0
