row_label_raw,row_label_full,2015,Nước ngoàiTriệu VND > 2015,Miền BắcTriệu VND > 2015,Miền TrungTriệu VND > 2015,Miền NamTriệu VND > 2015,Tổng cộngTriệu VND > 2015,numeric__Nước ngoàiTriệu VND > 2015,numeric__Miền BắcTriệu VND > 2015,numeric__Miền TrungTriệu VND > 2015,numeric__Miền NamTriệu VND > 2015,numeric__Tổng cộngTriệu VND > 2015
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,164.737,2.072.809,469.298,989.310,3.696.154,164737.0,2072809.0,469298.0,989310.0,3696154.0
Lãi/(lỗ) thuần từ hoạt độngdịch vụ,Lãi/(lỗ) thuần từ hoạt độngdịch vụ,Lãi/(lỗ) thuần từ hoạt độngdịch vụ,(4.347),88.553,(214),13.446,97.438,-4347.0,88553.0,-214.0,13446.0,97438.0
Lãi thuần từ hoạt độngkinh doanh ngoại hối,Lãi thuần từ hoạt độngkinh doanh ngoại hối,Lãi thuần từ hoạt độngkinh doanh ngoại hối,1.156,12.830,1.185,11.394,26.565,1156.0,12830.0,1185.0,11394.0,26565.0
Lãi thuần từ mua bánchứng khoán kinh doanh,Lãi thuần từ mua bánchứng khoán kinh doanh,Lãi thuần từ mua bánchứng khoán kinh doanh,-,4.160,-,-,4.160,,4160.0,,,4160.0
Lỗ thuần từ mua bánchứng khoán đầu tư,Lỗ thuần từ mua bánchứng khoán đầu tư,Lỗ thuần từ mua bánchứng khoán đầu tư,-,(69.645),-,-,(69.645),,-69645.0,,,-69645.0
Lãi/(lỗ) thuần từ hoạt động khác,Lãi/(lỗ) thuần từ hoạt động khác,Lãi/(lỗ) thuần từ hoạt động khác,36,171.306,(736),3.978,174.584,36.0,171306.0,-736.0,3978.0,174584.0
"Lãi từ góp vốn, mua cổ phần","Lãi từ góp vốn, mua cổ phần","Lãi từ góp vốn, mua cổ phần",-,8.564,-,-,8.564,,8564.0,,,8564.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(75.086),(1.497.310),(147.885),(358.359),(2.078.640),-75086.0,-1497310.0,-147885.0,-358359.0,-2078640.0
Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạtđộng kinh doanh trước chiphí dự phòng rủi ro tín dụng,86.496,791.267,321.648,659.769,1.859.180,86496.0,791267.0,321648.0,659769.0,1859180.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(28.500),(710.773),(61.110),(41.743),(842.126),-28500.0,-710773.0,-61110.0,-41743.0,-842126.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,57.996,80.494,260.538,618.026,1.017.054,57996.0,80494.0,260538.0,618026.0,1017054.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,
Tiền mặt và vàng,Tại ngày 31 tháng 12 năm 2015 > Tiền mặt và vàng,Tiền mặt và vàng,28.866,1.652.681,68.392,167.921,1.917.860,28866.0,1652681.0,68392.0,167921.0,1917860.0
Tiền gửi tại NHNN,Tại ngày 31 tháng 12 năm 2015 > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.994.240,2.330.481,28.134,9.663,4.362.518,1994240.0,2330481.0,28134.0,9663.0,4362518.0
Tiền gửi và cho vaycác TCTD khác,Tại ngày 31 tháng 12 năm 2015 > Tiền gửi và cho vaycác TCTD khác,Tiền gửi và cho vaycác TCTD khác,2.444.191,27.346.841,2.055,622,29.793.709,2444191.0,27346841.0,2055.0,622.0,29793709.0
Cho vay khách hàng,Tại ngày 31 tháng 12 năm 2015 > Cho vay khách hàng,Cho vay khách hàng,5.417.373,80.023.530,15.181.352,29.383.552,130.005.807,5417373.0,80023530.0,15181352.0,29383552.0,130005807.0
Đầu tư tài chính,Tại ngày 31 tháng 12 năm 2015 > Đầu tư tài chính,Đầu tư tài chính,-,17.674.438,-,-,17.674.438,,17674438.0,,,17674438.0
Tài sản cố định vàbất động sản đầu tư,Tại ngày 31 tháng 12 năm 2015 > Tài sản cố định vàbất động sản đầu tư,Tài sản cố định vàbất động sản đầu tư,24.064,4.013.602,10.304,25.251,4.073.221,24064.0,4013602.0,10304.0,25251.0,4073221.0
Tài sản Có khác,Tại ngày 31 tháng 12 năm 2015 > Tài sản Có khác,Tài sản Có khác,668.944,13.702.194,815.007,1.690.442,16.876.587,668944.0,13702194.0,815007.0,1690442.0,16876587.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2015 > Tổng tài sản,Tổng tài sản,10.577.678,146.743.767,16.105.244,31.277.451,204.704.140,10577678.0,146743767.0,16105244.0,31277451.0,204704140.0
Tiền gửi và vay các TCTD khác,Tại ngày 31 tháng 12 năm 2015 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,207.615,27.936.720,3,1.445,28.145.783,207615.0,27936720.0,3.0,1445.0,28145783.0
Tiền gửi của khách hàng,Tại ngày 31 tháng 12 năm 2015 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,757.339,111.771.225,8.703.388,27.596.924,148.828.876,757339.0,111771225.0,8703388.0,27596924.0,148828876.0
Huy động khác,Tại ngày 31 tháng 12 năm 2015 > Huy động khác,Huy động khác,-,12.876.370,3.554,19.071,12.898.995,,12876370.0,3554.0,19071.0,12898995.0
Nợ phải trả khác,Tại ngày 31 tháng 12 năm 2015 > Nợ phải trả khác,Nợ phải trả khác,1.911.751,1.047.363,191.846,421.764,3.572.724,1911751.0,1047363.0,191846.0,421764.0,3572724.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2015 > Tổng nợ phải trả,Tổng nợ phải trả,2.876.705,153.631.678,8.898.791,28.039.204,193.446.378,2876705.0,153631678.0,8898791.0,28039204.0,193446378.0
