row_label_raw,row_label_full,col_0,2016,2015(điều chỉnh lại),2015(theo báo cáotrước đây),numeric__2016,numeric__2015(điều chỉnh lại),numeric__2015(theo báo cáotrước đây)
,,,VND,VND,VND,,,
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,896,780,839,896.0,780.0,839.0
