row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)","Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_1","Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_2","Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_3","Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_4","Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phân Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo)_5"
,,,VND,USD,EUR,Tiền tệ khác,Tổng cộng,,,,,
Tại ngày 31 tháng 12 năm 2015(Triệu VND),Tại ngày 31 tháng 12 năm 2015(Triệu VND),Tại ngày 31 tháng 12 năm 2015(Triệu VND),,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.588.869,268.258,31.112,29.621,1.917.860,1588869.0,268258.0,31112.0,29621.0,1917860.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.209.245,2.280.098,-,873.175,4.362.518,1209245.0,2280098.0,,873175.0,4362518.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,24.172.230,4.825.705,491.924,308.987,29.798.846,24172230.0,4825705.0,491924.0,308987.0,29798846.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,70.927,-,-,-,70.927,70927.0,,,,70927.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,(3.333.287),3.333.287,-,-,-,-3333287.0,3333287.0,,,
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,121.126.330,10.153.256,15.045,132.562,131.427.193,121126330.0,10153256.0,15045.0,132562.0,131427193.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,17.879.376,-,-,-,17.879.376,17879376.0,,,,17879376.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",313.397,-,-,-,313.397,313397.0,,,,313397.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,4.049.155,20.178,-,3.888,4.073.221,4049155.0,20178.0,,3888.0,4073221.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,15.339.907,1.578.094,-,29.178,16.947.179,15339907.0,1578094.0,,29178.0,16947179.0
,,,182.416.149,22.458.876,538.081,1.377.411,206.790.517,182416149.0,22458876.0,538081.0,1377411.0,206790517.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Nợ phải trả NHNN và vay các TCTD khác,Nợ phải trả > Nợ phải trả NHNN và vay các TCTD khác,Nợ phải trả NHNN và vay các TCTD khác,27.711.298,4.659.400,-,-,32.370.698,27711298.0,4659400.0,,,32370698.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,131.097.042,16.956.641,535.254,239.939,148.828.876,131097042.0,16956641.0,535254.0,239939.0,148828876.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,70.130,-,576,29.305,100.011,70130.0,,576.0,29305.0,100011.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",414.632,-,-,-,414.632,414632.0,,,,414632.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,8.259.448,-,-,-,8.259.448,8259448.0,,,,8259448.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,2.584.619,63.962,3.234,820.898,3.472.713,2584619.0,63962.0,3234.0,820898.0,3472713.0
Vốn và các quỹ,Nợ phải trả > Vốn và các quỹ,Vốn và các quỹ,11.132.779,102.787,-,19.475,11.255.041,11132779.0,102787.0,,19475.0,11255041.0
,,,181.269.948,21.782.790,539.064,1.109.617,204.701.419,181269948.0,21782790.0,539064.0,1109617.0,204701419.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,1.146.201,676.086,(983),267.794,2.089.098,1146201.0,676086.0,-983.0,267794.0,2089098.0
