row_label_raw,row_label_full,col_0,1/1/2016 > Phải trảTriệu VND,1/1/2016 > Phải thuTriệu VND,Tăng do sápnhập VVFTriệu VND,Số phát sinhtrong nămTriệu VND,Số đã nộptrong nămTriệu VND,31/12/2016 > Phải trảTriệu VND,31/12/2016 > Phải thuTriệu VND,numeric__1/1/2016 > Phải trảTriệu VND,numeric__1/1/2016 > Phải thuTriệu VND,numeric__Tăng do sápnhập VVFTriệu VND,numeric__Số phát sinhtrong nămTriệu VND,numeric__Số đã nộptrong nămTriệu VND,numeric__31/12/2016 > Phải trảTriệu VND,numeric__31/12/2016 > Phải thuTriệu VND
Thuế GTGT,Thuế GTGT,Thuế GTGT,1.414,-,16,106.762,(66.301),41.891,-,1414.0,,16.0,106762.0,-66301.0,41891.0,
Thuế TNDN,Thuế TNDN,Thuế TNDN,63.597,-,(221),243.378,(246.439),60.315,-,63597.0,,-221.0,243378.0,-246439.0,60315.0,
Tạm ứng nộp thuế TNDN,Tạm ứng nộp thuế TNDN,Tạm ứng nộp thuế TNDN,-,(229),-,-,-,-,(229),,-229.0,,,,,-229.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,14.531,-,32,86.412,(85.583),15.392,-,14531.0,,32.0,86412.0,-85583.0,15392.0,
,,,79.542,(229),(173),436.552,(398.323),117.598,(229),79542.0,-229.0,-173.0,436552.0,-398323.0,117598.0,-229.0
Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,Năm kết thúc ngày 31 tháng 12 năm 2015,,,,,,,
,,,,1/1/2015,1/1/2015,Số phát sinhtrong nămTriệu VND,Số đã nộptrong nămTriệu VND,31/12/2015,31/12/2015,,,,,,,
,,,,Phải trảTriệu VND,Phải thuTriệu VND,Số phát sinhtrong nămTriệu VND,Số đã nộptrong nămTriệu VND,Phải trảTriệu VND,Phải thuTriệu VND,,,,,,,
Thuế GTGT,Năm kết thúc ngày 31 tháng 12 năm 2015 > Thuế GTGT,Thuế GTGT,,2.544,-,22.867,(23.997),1.414,-,,2544.0,,22867.0,-23997.0,1414.0,
Thuế TNDN,Năm kết thúc ngày 31 tháng 12 năm 2015 > Thuế TNDN,Thuế TNDN,,66.820,-,221.768,(224.991),63.597,-,,66820.0,,221768.0,-224991.0,63597.0,
Tạm ứng nộp thuế TNDN,Năm kết thúc ngày 31 tháng 12 năm 2015 > Tạm ứng nộp thuế TNDN,Tạm ứng nộp thuế TNDN,,-,(130),(229),130,-,(229),,,-130.0,-229.0,130.0,,-229.0
Thuế TNDN hoãn lại phải trảcủa chi nhánh Campuchia,Năm kết thúc ngày 31 tháng 12 năm 2015 > Thuế TNDN hoãn lại phải trảcủa chi nhánh Campuchia,Thuế TNDN hoãn lại phải trảcủa chi nhánh Campuchia,,461,-,-,(461),-,-,,461.0,,,-461.0,,
Các loại thuế khác,Năm kết thúc ngày 31 tháng 12 năm 2015 > Các loại thuế khác,Các loại thuế khác,,35.819,-,86.102,(107.390),14.531,-,,35819.0,,86102.0,-107390.0,14531.0,
,,,,105.644,(130),330.508,(356.709),79.542,(229),,105644.0,-130.0,330508.0,-356709.0,79542.0,-229.0
