row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2016Triệu VND,2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2016Triệu VND,numeric__2015Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,,(173.680),(103.775),,,-173680.0,-103775.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,538.765,145,,,538765.0,145.0
08,08,08,Tiền thu đầu tư góp vốn vào đơn vị khác,,44.380,27.649,,,44380.0,27649.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,2.127,8.565,,,2127.0,8565.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,411.592,(67.416),,,411592.0,-67416.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(288),(2.761),,,-288.0,-2761.0
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(288),(2.761),,,-288.0,-2761.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,(7.419.091),5.136.092,,,-7419091.0,5136092.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,,33.761.238,28.625.146,,,33761238.0,28625146.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,35,26.342.147,33.761.238,,35.0,26342147.0,33761238.0
