row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,234.555,293.825,173.193,86.450,25.340,813.363,234555.0,293825.0,173193.0,86450.0,25340.0,813363.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,80.549,21.033,30.670,6.127,3.122,141.501,80549.0,21033.0,30670.0,6127.0,3122.0,141501.0
Tăng do sáp nhập VVF,Nguyên giá > Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,25.005,112,2.174,2.866,-,30.157,25005.0,112.0,2174.0,2866.0,,30157.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(15.144),(148),(3.979),(1.766),(1.739),(22.776),-15144.0,-148.0,-3979.0,-1766.0,-1739.0,-22776.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,325,45,23,66,-,459,325.0,45.0,23.0,66.0,,459.0
Số dư tại ngày 31 tháng 12 năm 2016,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,325.290,314.867,202.081,93.743,26.723,962.704,325290.0,314867.0,202081.0,93743.0,26723.0,962704.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,66.560,191.458,102.961,73.442,17.924,452.345,66560.0,191458.0,102961.0,73442.0,17924.0,452345.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,17.171,36.230,19.881,8.516,7.468,89.266,17171.0,36230.0,19881.0,8516.0,7468.0,89266.0
Tăng do sáp nhập VVF,Hao mòn lũy kế > Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,5.775,112,2.173,2.340,-,10.400,5775.0,112.0,2173.0,2340.0,,10400.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.867),(276),(3.991),(1.697),(1.522),(13.353),-5867.0,-276.0,-3991.0,-1697.0,-1522.0,-13353.0
Số dư tại ngày 31 tháng 12 năm 2016,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,83.639,227.524,121.024,82.601,23.870,538.658,83639.0,227524.0,121024.0,82601.0,23870.0,538658.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,167.995,102.367,70.232,13.008,7.416,361.018,167995.0,102367.0,70232.0,13008.0,7416.0,361018.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,241.651,87.343,81.057,11.142,2.853,424.046,241651.0,87343.0,81057.0,11142.0,2853.0,424046.0
