row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.629.594,183.424,35.493,3.848.511,3629594.0,183424.0,35493.0,3848511.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.356,21.668,4.695,31.719,5356.0,21668.0,4695.0,31719.0
Tăng do sáp nhập VVF,Nguyên giá > Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,-,2.756,-,2.756,,2756.0,,2756.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(156.032),-,-,(156.032),-156032.0,,,-156032.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(38),-,-,(38),-38.0,,,-38.0
Số dư tại ngày 31 tháng 12 năm 2016,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.478.880,207.848,40.188,3.726.916,3478880.0,207848.0,40188.0,3726916.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,5.489,130.729,17.045,153.263,5489.0,130729.0,17045.0,153263.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,28.310,5.481,33.949,158.0,28310.0,5481.0,33949.0
Tăng do sáp nhập VVF,Hao mòn lũy kế > Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,-,1.709,-,1.709,,1709.0,,1709.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,-,(11),(11),,,-11.0,-11.0
Số dư tại ngày 31 tháng 12 năm 2016,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,5.647,160.748,22.515,188.910,5647.0,160748.0,22515.0,188910.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.624.105,52.695,18.448,3.695.248,3624105.0,52695.0,18448.0,3695248.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.473.233,47.100,17.673,3.538.006,3473233.0,47100.0,17673.0,3538006.0
