row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tại 31 tháng 12 năm 2015(Triệu VND)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Trên 5 năm","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.917.860,-,-,-,-,-,-,1.917.860,,1917860.0,,,,,,,1917860.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,4.362.518,-,-,-,-,-,-,4.362.518,,4362518.0,,,,,,,4362518.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,5.137,-,23.027.209,5.673.500,1.093.000,-,-,-,29.798.846,5137.0,,23027209.0,5673500.0,1093000.0,,,,29798846.0
Chứng khoán kinh doanh- gộp,Tài sản > Chứng khoán kinh doanh- gộp,Chứng khoán kinh doanh- gộp,-,70.927,-,-,-,-,-,-,70.927,,70927.0,,,,,,,70927.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.186.759,-,40.891.753,66.516.558,14.226.782,2.086.569,3.289.772,229.000,131.427.193,4186759.0,,40891753.0,66516558.0,14226782.0,2086569.0,3289772.0,229000.0,131427193.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,7.047.986,200.428,1.392.520,831.835,1.369.300,4.500.344,2.536.963,17.879.376,,7047986.0,200428.0,1392520.0,831835.0,1369300.0,4500344.0,2536963.0,17879376.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,313.397,-,-,-,-,-,-,313.397,,313397.0,,,,,,,313397.0
Tài sản cố định vàbất động sản đầu tư,Tài sản > Tài sản cố định vàbất động sản đầu tư,Tài sản cố định vàbất động sản đầu tư,-,4.073.221,-,-,-,-,-,-,4.073.221,,4073221.0,,,,,,,4073221.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.048.584,15.898.595,-,-,-,-,-,-,16.947.179,1048584.0,15898595.0,,,,,,,16947179.0
,,,5.240.480,33.684.504,64.119.390,73.582.578,16.151.617,3.455.869,7.790.116,2.765.963,206.790.517,5240480.0,33684504.0,64119390.0,73582578.0,16151617.0,3455869.0,7790116.0,2765963.0,206790517.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ phải trả NHNNvà các TCTD khác,Nợ phải trả > Nợ phải trả NHNNvà các TCTD khác,Nợ phải trả NHNNvà các TCTD khác,-,-,23.074.792,8.730.087,515.000,44.071,1.998,4.750,32.370.698,,,23074792.0,8730087.0,515000.0,44071.0,1998.0,4750.0,32370698.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.966.012,32.387.676,31.919.053,25.205.754,4.348.147,2.234,148.828.876,,,54966012.0,32387676.0,31919053.0,25205754.0,4348147.0,2234.0,148828876.0
Các công cụ tài chínhphải sinh và các khoảnny tài chính khác,Nợ phải trả > Các công cụ tài chínhphải sinh và các khoảnny tài chính khác,Các công cụ tài chínhphải sinh và các khoảnny tài chính khác,-,100.011,-,-,-,-,-,-,100.011,,100011.0,,,,,,,100011.0
"Vốn tài trợ, ủy thác đàutư, cho vay mà TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đàutư, cho vay mà TCTDchịu rủi ro","Vốn tài trợ, ủy thác đàutư, cho vay mà TCTDchịu rủi ro",-,-,6.091,12.054,384.146,-,12.341,-,414.632,,,6091.0,12054.0,384146.0,,12341.0,,414632.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,31.200,1.679.600,473.693,3.879.942,1.195.013,1.000.000,8.259.448,,,31200.0,1679600.0,473693.0,3879942.0,1195013.0,1000000.0,8259448.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.472.713,-,-,-,-,-,-,3.472.713,,3472713.0,,,,,,,3472713.0
,,,-,3.572.724,78.078.095,42.809.417,33.291.892,29.129.767,5.557.499,1.006.984,193.446.378,,3572724.0,78078095.0,42809417.0,33291892.0,29129767.0,5557499.0,1006984.0,193446378.0
Mức chênh nhạy cảmvới lãi suất,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất,Mức chênh nhạy cảmvới lãi suất,5.240.480,30.111.780,(13.958.705),30.773.161,(17.140.275),(25.673.898),2.232.617,1.758.979,13.344.139,5240480.0,30111780.0,-13958705.0,30773161.0,-17140275.0,-25673898.0,2232617.0,1758979.0,13344139.0
