row_label_raw,row_label_full,col_0,31/12/2016Triệu VNDPhải thu/(Phải trả),31/12/2015Triệu VNDPhải thu/(Phải trả),numeric__31/12/2016Triệu VNDPhải thu/(Phải trả),numeric__31/12/2015Triệu VNDPhải thu/(Phải trả)
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
Cho vay,Cổ đông lớn > Cho vay,Cho vay,-,2.242.072,,2242072.0
Ủy thác đầu tư,Cổ đông lớn > Ủy thác đầu tư,Ủy thác đầu tư,-,651,,651.0
Đầu tư vào các bên liên quan,Cổ đông lớn > Đầu tư vào các bên liên quan,Đầu tư vào các bên liên quan,71.849,102.700,71849.0,102700.0
"Lãi phải thu từ cho vay, ủy thác đầu tư,đầu tư trái phiếu","Cổ đông lớn > Lãi phải thu từ cho vay, ủy thác đầu tư,đầu tư trái phiếu","Lãi phải thu từ cho vay, ủy thác đầu tư,đầu tư trái phiếu",266.958,850.551,266958.0,850551.0
Tiền gửi không kỳ hạn,Cổ đông lớn > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(188.869),(811.795),-188869.0,-811795.0
Tiền gửi có kỳ hạn,Cổ đông lớn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(1.152.610),(1.613.122),-1152610.0,-1613122.0
Vốn góp của các bên liên quan,Cổ đông lớn > Vốn góp của các bên liên quan,Vốn góp của các bên liên quan,(1.116.063),(1.351.002),-1116063.0,-1351002.0
