row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ đầu tư phát triểnTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Quỹ khácTriệu VND,Lợi ích cổ đông không kiểm soátTriệu VND,Lợi nhuận chưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ đầu tư phát triểnTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Quỹ khácTriệu VND,numeric__Lợi ích cổ đông không kiểm soátTriệu VND,numeric__Lợi nhuận chưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,9.485.945,101.716,(5.260),20.013,588.896,254.899,-,2.721,808.832,11.257.762,9485945.0,101716.0,-5260.0,20013.0,588896.0,254899.0,,2721.0,808832.0,11257762.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,(187),913.248,913.061,,,,,,,,-187.0,913248.0,913061.0
Phân loại lại quỹ dự phòng tài chính,Phân loại lại quỹ dự phòng tài chính,Phân loại lại quỹ dự phòng tài chính,-,-,-,5.000,(20.000),15.000,-,-,,-,,,,5000.0,-20000.0,15000.0,,,,
Tăng do sáp nhập VVF (*),Tăng do sáp nhập VVF (*),Tăng do sáp nhập VVF (*),1.000.000,-,-,-,31.938,16.307,1.022,-,27.546,1.076.813,1000000.0,,,,31938.0,16307.0,1022.0,,27546.0,1076813.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,710.946,-,-,-,-,-,-,-,(710.946),-,710946.0,,,,,,,,-710946.0,
Quỹ của các cổ đông thiểu số,Quỹ của các cổ đông thiểu số,Quỹ của các cổ đông thiểu số,-,-,-,-,228,-,-,(228),-,-,,,,,228.0,,,-228.0,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(15.901),(15.901),,,,,,,,,-15901.0,-15901.0
Tạm trích các quỹ,Tạm trích các quỹ,Tạm trích các quỹ,-,-,-,-,81.870,43.090,-,-,(124.960),-,,,,,81870.0,43090.0,,,-124960.0,
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,(4),-,-,(158),(162),,,,,,-4.0,,,-158.0,-162.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,11.196.891,101.716,(5.260),25.013,682.932,329.292,1.022,2.306,897.661,13.231.573,11196891.0,101716.0,-5260.0,25013.0,682932.0,329292.0,1022.0,2306.0,897661.0,13231573.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,8.865.795,101.716,(5.260),13,517.699,216.751,-,2.908,783.350,10.482.972,8865795.0,101716.0,-5260.0,13.0,517699.0,216751.0,,2908.0,783350.0,10482972.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,(26),795.182,795.156,,,,,,,,-26.0,795182.0,795156.0
Thuế giữ lại của SHB Campuchia,Thuế giữ lại của SHB Campuchia,Thuế giữ lại của SHB Campuchia,-,-,-,-,-,-,-,,(6.276),(6.276),,,,,,,,,-6276.0,-6276.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,20.000,-,-,-,-,(20.000),-,,,,20000.0,,,,,-20000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(15.426),(15.426),,,,,,,,,-15426.0,-15426.0
Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,620.150,-,-,-,-,-,-,-,(620.150),,620150.0,,,,,,,,-620150.0,
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,-,1.497,1.497,,,,,,,,,1497.0,1497.0
Tạm trích các quỹ,Tạm trích các quỹ,Tạm trích các quỹ,-,-,-,-,71.197,38.148,-,-,(109.345),,,,,,71197.0,38148.0,,,-109345.0,
Trả cổ tức của SHBS,Trả cổ tức của SHBS,Trả cổ tức của SHBS,-,-,-,-,-,-,-,(161),-,(161),,,,,,,,-161.0,,-161.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,9.485.945,101.716,(5.260),20.013,588.896,254.899,-,2.721,808.832,11.257.762,9485945.0,101716.0,-5260.0,20013.0,588896.0,254899.0,,2721.0,808832.0,11257762.0
