row_label_raw,row_label_full,Tài khoản tiền gửi thanh toán tại NHNNVN (i),31/12/2016Triệu VND > 1.880.377,31/12/2015Triệu VND > 2.368.278,numeric__31/12/2016Triệu VND > 1.880.377,numeric__31/12/2015Triệu VND > 2.368.278
Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),185.140,637.167,185140.0,637167.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),653.240,1.357.073,653240.0,1357073.0
,,,2.718.757,4.362.518,2718757.0,4362518.0
