row_label_raw,row_label_full,Tên công ty,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản NH TMCP Sài Gòn - Hà Nội (“SHB AMC”),Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản NH TMCP Sài Gòn - Hà Nội (“SHB AMC”),Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản NH TMCP Sài Gòn - Hà Nội (“SHB AMC”),Quản lý nợ và khai thác tài sản,"100,00%",,1.0
Công ty Cổ phần Chứng khoán SHB (“SHBS”),Công ty Cổ phần Chứng khoán SHB (“SHBS”),Công ty Cổ phần Chứng khoán SHB (“SHBS”),Đầu tư và kinh doanh chứng khoán,"98,47%",,0.9847
