row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phandida báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phandida báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Doanh thu,Doanh thu,Doanh thu,2.366.145,2.939.187,27.781.603,33.086.935,(18.885.843),14.201.092,2366145.0,2939187.0,27781603.0,33086935.0,-18885843.0,14201092.0
Doanh thu lãi,Doanh thu lãi,Doanh thu lãi,2.334.696,2.901.911,26.615.586,31.852.193,(18.885.843),12.966.350,2334696.0,2901911.0,26615586.0,31852193.0,-18885843.0,12966350.0
Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,18.120,40.221,344.468,402.809,,402.809,18120.0,40221.0,344468.0,402809.0,,402809.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,13.329,(2.945),821.549,831.933,,831.933,13329.0,-2945.0,821549.0,831933.0,,831933.0
Chi phí,Chi phí,Chi phí,(2.095.410),(2.596.166),(25.263.987),(29.955.563),18.885.843,(11.069.720),-2095410.0,-2596166.0,-25263987.0,-29955563.0,18885843.0,-11069720.0
Chi phí lãi,Chi phí lãi,Chi phí lãi,(1.880.546),(2.257.912),(22.594.614),(26.733.072),18.885.843,(7.847.229),-1880546.0,-2257912.0,-22594614.0,-26733072.0,18885843.0,-7847229.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,(5.716),(11.886),(93.059),(110.661),,(110.661),-5716.0,-11886.0,-93059.0,-110661.0,,-110661.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(209.148),(326.368),(2.576.314),(3.111.830),,(3.111.830),-209148.0,-326368.0,-2576314.0,-3111830.0,,-3111830.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,270.735,343.021,2.517.616,3.131.372,,3.131.372,270735.0,343021.0,2517616.0,3131372.0,,3131372.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,857,6.464,(870.714),(863.393),,(863.393),857.0,6464.0,-870714.0,-863393.0,,-863393.0
Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,271.592,349.485,1.646.902,2.267.979,,2.267.979,271592.0,349485.0,1646902.0,2267979.0,,2267979.0
