row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Tiền gửi không kỳ hạn (“KKH”),Tiền gửi không kỳ hạn (“KKH”),Tiền gửi không kỳ hạn (“KKH”),8.267.779,10.483.864,8267779.0,10483864.0
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,8.050.101,9.937.509,8050101.0,9937509.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,200.630,534.516,200630.0,534516.0
Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,16.176,9.624,16176.0,9624.0
Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,872,2.215,872.0,2215.0
Tiền gửi có kỳ hạn (“CKH”),Tiền gửi có kỳ hạn (“CKH”),Tiền gửi có kỳ hạn (“CKH”),116.397.253,104.474.553,116397253.0,104474553.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,18.075.181,20.227.736,18075181.0,20227736.0
Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,57.265,67.759,57265.0,67759.0
Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,97.508.099,83.200.342,97508099.0,83200342.0
Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,756.708,978.716,756708.0,978716.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,76.654,58.494,76654.0,58494.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,63.428,54.960,63428.0,54960.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,13.226,3.534,13226.0,3534.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,251.649,302.477,251649.0,302477.0
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,251.649,302.477,251649.0,302477.0
,,,124.993.335,115.319.388,124993335.0,115319388.0
