row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,92.868.899,"77,69",77.576.160,"75,57",92868899.0,77.69,77576160.0,75.57
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,47.750.561,"39,95",39.448.587,"38,42",47750561.0,39.95,39448587.0,38.42
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,45.053.766,"37,69",38.039.741,"37,06",45053766.0,37.69,38039741.0,37.06
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,10.886,"0,01",3.715,"0,00",10886.0,0.01,3715.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,4.532,"0,00",332,"0,00",4532.0,0.0,332.0,0.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,76,"0,00",-,"0,00",76.0,0.0,,0.0
Công ty TNHH một thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH một thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH một thành viên do Nhà nước sở hữu 100% vốn điều lệ,-,-,15.864,"0,02",,,15864.0,0.02
Khác,Khác,Khác,49.078,"0,04",67.921,"0,07",49078.0,0.04,67921.0,0.07
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,26.669.441,"22,31",25.077.106,"24,43",26669441.0,22.31,25077106.0,24.43
,,,119.538.340,100,102.653.266,100,119538340.0,100.0,102653266.0,100.0
