row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,423.120,354.279,197.880,35.306,14.099,1.024.684,423120.0,354279.0,197880.0,35306.0,14099.0,1024684.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,8.344,65,102,77,8.588,,8344.0,65.0,102.0,77.0,8588.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,-,56.640,25.820,1.055,1.020,84.535,,56640.0,25820.0,1055.0,1020.0,84535.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(440),(3.586),(12.636),(663),(394),(17.719),-440.0,-3586.0,-12636.0,-663.0,-394.0,-17719.0
Chuyển từ tài sản cố địnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,5.797,-,-,5.797,,,5797.0,,,5797.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,(90),-,(90),,,,-90.0,,-90.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,422.680,415.677,216.926,35.710,14.802,1.105.795,422680.0,415677.0,216926.0,35710.0,14802.0,1105795.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Ngày 31 tháng 12 năm 2021,Giá trị khấu hao luỹ kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,143.729,203.301,129.019,29.374,11.807,517.230,143729.0,203301.0,129019.0,29374.0,11807.0,517230.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,15.701,41.991,21.927,2.132,1.351,83.102,15701.0,41991.0,21927.0,2132.0,1351.0,83102.0
Chuyển từ tài sản cố địnhthuê tài chính,Giá trị khấu hao luỹ kế > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,4.922,-,-,4.922,,,4922.0,,,4922.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(440),(3.574),(12.507),(663),(394),(17.578),-440.0,-3574.0,-12507.0,-663.0,-394.0,-17578.0
Giảm khác,Giá trị khấu hao luỹ kế > Giảm khác,Giảm khác,-,-,-,(90),-,(90),,,,-90.0,,-90.0
Ngày 31 tháng 12 năm 2022,Giá trị khấu hao luỹ kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,158.990,241.718,143.361,30.753,12.764,587.586,158990.0,241718.0,143361.0,30753.0,12764.0,587586.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,279.391,150.978,68.861,5.932,2.292,507.454,279391.0,150978.0,68861.0,5932.0,2292.0,507454.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,263.690,173.959,73.565,4.957,2.038,518.209,263690.0,173959.0,73565.0,4957.0,2038.0,518209.0
