row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.062.738,-,-,-,-,-,-,1.062.738,,1062738.0,,,,,,,1062738.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,1.975.334,-,-,-,-,-,1.975.334,,,1975334.0,,,,,,1975334.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,289.885,18.942.981,4.277.400,395.261,-,-,-,23.905.527,,289885.0,18942981.0,4277400.0,395261.0,,,,23905527.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,104.949,-,-,-,-,-,-,104.949,,104949.0,,,,,,,104949.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.963.002,-,32.445.729,70.031.086,7.600.295,2.813.096,1.645.132,40.000,119.538.340,4963002.0,,32445729.0,70031086.0,7600295.0,2813096.0,1645132.0,40000.0,119538340.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,1.888.361,400.000,2.587.384,3.087.600,2.630.125,1.659.715,14.093.002,26.346.187,,1888361.0,400000.0,2587384.0,3087600.0,2630125.0,1659715.0,14093002.0,26346187.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,85.320,-,-,-,-,-,-,85.320,,85320.0,,,,,,,85320.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.042.529,-,-,-,-,-,-,1.042.529,,1042529.0,,,,,,,1042529.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,15.971,-,-,-,-,-,-,15.971,,15971.0,,,,,,,15971.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,5.460.130,-,-,-,-,-,-,5.460.130,,5460130.0,,,,,,,5460130.0
