row_label_raw,row_label_full,col_0,Phương tiện vận tảiTriệu đồng,numeric__Phương tiện vận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,81.614,81614.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,39.602,39602.0
Kết chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Kết chuyển từ xây dựng cơ bản dở dang,Kết chuyển từ xây dựng cơ bản dở dang,19.154,19154.0
Chuyển sang TSCĐ hữu hình,Nguyên giá > Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(5.797),-5797.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,134.573,134573.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,
Ngày 31 tháng 12 năm 2021,Giá trị khấu hao luỹ kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,22.686,22686.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,16.113,16113.0
Chuyển sang TSCĐ hữu hình,Giá trị khấu hao luỹ kế > Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(4.922),-4922.0
Ngày 31 tháng 12 năm 2022,Giá trị khấu hao luỹ kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,33.877,33877.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,58.928,58928.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,100.696,100696.0
