row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/ Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/ Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
1,1,1,"Ngân hàng Liên doanh Việt Nga (""VRB"")","0102028839 ngày 09 tháng 11 năm 2006 của của Sở Kế hoạch và Đầu tư Thành phố Hà Nội, được sửa đổi lần thứ 12 ngày 13 tháng 12 năm 2018",Tài chính/ Ngân hàng,"50,00%",,,,0.5
2,2,2,"Công ty Liên doanh Tháp BIDV (""BIDV Tower"")",2523/GP ngày 02 tháng 11 năm 2005 của Bộ Kế hoạch và Đầu tư,"Xây dựng, vận hành và quản lý khởi văn phòng làm việc","55,00%",,,,0.55
3,3,3,"Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife (""BIDV Metlife"")",72/GPĐC3-KDBH ngày 13 tháng 9 năm 2019 của Bộ Tài chính,Bảo hiểm,"34,32%",,,,0.3432
