row_label_raw,row_label_full,col_0,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng,numeric__Quá hạn,numeric__Không chịu rủi ro lãi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng
,,,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6 -12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,14.116.720,-,-,-,-,-,-,14.116.720,,14116720.0,,,,,,,14116720.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,98.844.816,36.410.613,-,-,-,-,-,135.255.429,,98844816.0,36410613.0,,,,,,135255429.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),1.026,2.993.737,43.200.430,6.479.343,721.220,874.043,163.987,2.586,54.436.372,1026.0,2993737.0,43200430.0,6479343.0,721220.0,874043.0,163987.0,2586.0,54436372.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,922.310,-,12.929,-,5.445.140,-,-,6.380.379,,922310.0,,12929.0,,5445140.0,,,6380379.0
Công cụ tài chính và tài sản tài chính phải sinh khác (*),Tài sản > Công cụ tài chính và tài sản tài chính phải sinh khác (*),Công cụ tài chính và tài sản tài chính phải sinh khác (*),-,-,-,8.826,75.589,23.226,-,-,107.641,,,,8826.0,75589.0,23226.0,,,107641.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),23.932.630,-,280.396.000,392.217.489,287.876.242,94.344.178,22.367.163,15.864.283,1.116.997.985,23932630.0,,280396000.0,392217489.0,287876242.0,94344178.0,22367163.0,15864283.0,1116997985.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),623.000,69.702,1.592.351,3.927.933,23.402.393,17.118.124,36.392.077,61.955.940,145.081.520,623000.0,69702.0,1592351.0,3927933.0,23402393.0,17118124.0,36392077.0,61955940.0,145081520.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,2.840.455,-,-,-,-,-,-,2.840.455,,2840455.0,,,,,,,2840455.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,10.604.686,-,-,-,-,-,-,10.604.686,,10604686.0,,,,,,,10604686.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),640.823,25.864.027,-,-,-,-,-,-,26.504.850,640823.0,25864027.0,,,,,,,26504850.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,25.197.479,156.256.453,361.599.394,402.646.520,312.075.444,117.804.711,58.923.227,77.822.809,1.512.326.037,25197479.0,156256453.0,361599394.0,402646520.0,312075444.0,117804711.0,58923227.0,77822809.0,1512326037.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,Nợ phải trả > Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,4.214.281,65.186.548,72.676.916,30.049.692,7.026.626,5.948.089,341.035,185.443.187,,4214281.0,65186548.0,72676916.0,30049692.0,7026626.0,5948089.0,341035.0,185443187.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,3.694.172,389.957.528,209.414.349,227.649.382,249.215.468,34.115.416,116.309,1.114.162.624,,3694172.0,389957528.0,209414349.0,227649382.0,249215468.0,34115416.0,116309.0,1114162624.0
