row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,3.328.208,2.305.736,3328208.0,2305736.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,32.234.070,26.964.088,32234070.0,26964088.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Các khoản lãi và phí phải trả,Trong đó: > - Các khoản lãi và phí phải trả,- Các khoản lãi và phí phải trả,24.695.986,20.726.439,24695986.0,20726439.0
- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,Trong đó: > - Thuế và các khoản phải trả khác cho ngân sách Nhà nước,- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,1.078.773,823.347,1078773.0,823347.0
- Các khoản phải trả trong giao dịch nghiệp vụ chứng khoán và bảo hiểm,Trong đó: > - Các khoản phải trả trong giao dịch nghiệp vụ chứng khoán và bảo hiểm,- Các khoản phải trả trong giao dịch nghiệp vụ chứng khoán và bảo hiểm,3.115.621,2.726.259,3115621.0,2726259.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Trong đó: > Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,111.935,90.753,111935.0,90753.0
Quỹ khen thưởng phúc lợi,Trong đó: > Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,1.865.505,2.561.756,1865505.0,2561756.0
,,,37.539.718,31.922.333,37539718.0,31922333.0
