row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.133.818,1.526.653,11.462,5.671.933,4133818.0,1526653.0,11462.0,5671933.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,112.933,49.795,985,163.713,112933.0,49795.0,985.0,163713.0
"Thanh lý, nhuộng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhuộng bán","Thanh lý, nhuộng bán",-,(2.891),-,(2.891),,-2891.0,,-2891.0
Tăng khác,Nguyên giá TSCĐ vô hình > Tăng khác,Tăng khác,-,33.251,110,33.361,,33251.0,110.0,33361.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.246.751,1.606.808,12.557,5.866.116,4246751.0,1606808.0,12557.0,5866116.0
Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,,,,
Số dư đầu năm,Giá trị hao mòn lũy kê > Số dư đầu năm,Số dư đầu năm,290.694,1.064.320,2.458,1.357.472,290694.0,1064320.0,2458.0,1357472.0
Khẩu hao trong năm,Giá trị hao mòn lũy kê > Khẩu hao trong năm,Khẩu hao trong năm,35.570,170.895,805,207.270,35570.0,170895.0,805.0,207270.0
"Thanh lý, nhuộng bán","Giá trị hao mòn lũy kê > Thanh lý, nhuộng bán","Thanh lý, nhuộng bán",-,(2.891),-,(2.891),,-2891.0,,-2891.0
Tăng/ (giảm) khác,Giá trị hao mòn lũy kê > Tăng/ (giảm) khác,Tăng/ (giảm) khác,47,(6.091),142,(5.902),47.0,-6091.0,142.0,-5902.0
Số dư cuối năm,Giá trị hao mòn lũy kê > Số dư cuối năm,Số dư cuối năm,326.311,1.226.233,3.405,1.555.949,326311.0,1226233.0,3405.0,1555949.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.843.124,462.333,9.004,4.314.461,3843124.0,462333.0,9004.0,4314461.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,3.920.440,380.575,9.152,4.310.167,3920440.0,380575.0,9152.0,4310167.0
