row_label_raw,row_label_full,"Đơn vị > BIDV, BAMC, BSL, BIDC hoạt động tại Việt Nam",Quỹ > Quỹ dự trữ bổ sung vốn điều lệ > Quỹ dự trữ tài chính > Quỹ khác,Tỷ lệ > 5% lợi nhuận sau thuế > 10% lợi nhuận sau thuế > Đại hội đồng cổ đông quyết định,Mức tối đa > 100% vốn điều lệ > Đại hội đồng cổ đông quyết định,Căn cứ trích > Luật các TCTD số 47/2010/QH12 có hiệu lực từ ngày 01 tháng 01 năm 2011; Nghị định số 93/2017/NĐ-CP do Chính phủ ban hành ngày 07 tháng 08 năm 2017,numeric__Quỹ > Quỹ dự trữ bổ sung vốn điều lệ > Quỹ dự trữ tài chính > Quỹ khác,numeric__Tỷ lệ > 5% lợi nhuận sau thuế > 10% lợi nhuận sau thuế > Đại hội đồng cổ đông quyết định,numeric__Mức tối đa > 100% vốn điều lệ > Đại hội đồng cổ đông quyết định,numeric__Căn cứ trích > Luật các TCTD số 47/2010/QH12 có hiệu lực từ ngày 01 tháng 01 năm 2011; Nghị định số 93/2017/NĐ-CP do Chính phủ ban hành ngày 07 tháng 08 năm 2017
BIDC hoạt động tại Campuchia,BIDC hoạt động tại Campuchia,BIDC hoạt động tại Campuchia,Các quỹ thuộc vốn chủ sở hữu,Theo phê duyệt của các chủ sở hữu,Theo phê duyệt của các chủ sở hữu,Theo phê duyệt của các chủ sở hữu,,,,
"BSC, MHBS","BSC, MHBS","BSC, MHBS",Quỹ dự trữ bổ sung vốn điều lệ,5% lợi nhuận sau thuế,10% vốn điều lệ,Thông tư số 146/2014/TT-BTC do Bộ Tài chính ban hành ngày 06 tháng 10 năm 2014,,,,
"BSC, MHBS","BSC, MHBS","BSC, MHBS",Quỹ dự phòng tài chính và rủi ro nghiệp vụ,5% lợi nhuận sau thuế,10% vốn điều lệ,Thông tư số 146/2014/TT-BTC do Bộ Tài chính ban hành ngày 06 tháng 10 năm 2014,,,,
BIC,BIC,BIC,Quỹ dự trữ bắt buộc,5% lợi nhuận sau thuế,10% vốn điều lệ,Nghị định số 73/2016/NĐ-CP do Chính phủ ban hành ngày 01 tháng 7 năm 2016,,,,
LVB,LVB,LVB,Quỹ dự trữ theo luật định,5% lợi nhuận sau thuế,10% vốn điều lệ,Quyết định số 01/BOL do Thống đốc Ngân hàng Nhà nước Lào ban hành hành ngày 28 tháng 8 năm 2001,,,,
