row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Vốn khác,Quỹ khác thuộc Vốn chủ sở hữu,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),34.187.153,30.306,2.958.558,1.567.900,72.084,179.146,19.448,156.581,12.270.771,3.047.709,54.489.656,34187153.0,30306.0,2958558.0,1567900.0,72084.0,179146.0,19448.0,156581.0,12270771.0,3047709.0,54489656.0
- Tăng vốn trong năm,- Tăng vốn trong năm,- Tăng vốn trong năm,6.033.027,14.262.076,-,-,-,-,-,-,-,-,20.295.103,6033027.0,14262076.0,,,,,,,,,20295103.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,-,-,-,8.368.491,179.266,8.547.757,,,,,,,,,8368491.0,179266.0,8547757.0
- Trích quỹ trong năm,- Trích quỹ trong năm,- Trích quỹ trong năm,-,-,722.395,374.029,18.816,-,5.415,-,(1.120.655),-,-,,,722395.0,374029.0,18816.0,,5415.0,,-1120655.0,,
- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,-,-,(379),-,-,-,-,-,-,-,(379),,,-379.0,,,,,,,,-379.0
- Tạm trích Quỹ Khen thưởng phúc lợi,- Tạm trích Quỹ Khen thưởng phúc lợi,- Tạm trích Quỹ Khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(773.712),(15.001),(788.713),,,,,,,,,-773712.0,-15001.0,-788713.0
- Quyết định trả cổ tức trong năm,- Quyết định trả cổ tức trong năm,- Quyết định trả cổ tức trong năm,-,-,-,-,-,-,-,-,(4.786.201),(72.530),(4.858.731),,,,,,,,,-4786201.0,-72530.0,-4858731.0
- Công ty con (BSC) trả cổ tức bằng cổ phiếu,- Công ty con (BSC) trả cổ tức bằng cổ phiếu,- Công ty con (BSC) trả cổ tức bằng cổ phiếu,-,-,-,-,-,88.705,-,-,(88.705),-,-,,,,,,88705.0,,,-88705.0,,
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính công ty con,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính công ty con,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính công ty con,-,-,-,-,-,-,-,(10.859),-,(1.919),(12.778),,,,,,,,-10859.0,,-1919.0,-12778.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,7.734,7.734,-,-,1.676,(15.939),(13.051),(7.088),(18.934),,,7734.0,7734.0,,,1676.0,-15939.0,-13051.0,-7088.0,-18934.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.220.180,14.292.382,3.688.308,1.949.663,90.900,267.851,26.539,129.783,13.856.938,3.130.437,77.652.981,40220180.0,14292382.0,3688308.0,1949663.0,90900.0,267851.0,26539.0,129783.0,13856938.0,3130437.0,77652981.0
