row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,6.517.869,5.337.309,6517869.0,5337309.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,5.777.810,4.478.587,5777810.0,4478587.0
Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,569.691,686.401,569691.0,686401.0
Thu khác,Thu khác,Thu khác,170.368,172.321,170368.0,172321.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.156.695),(1.519.277),-1156695.0,-1519277.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(498.185),(763.012),-498185.0,-763012.0
Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,(176.444),(200.933),-176444.0,-200933.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(482.066),(555.332),-482066.0,-555332.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,5.361.174,3.818.032,5361174.0,3818032.0
