row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,9.159.704,8.853.740,9159704.0,8853740.0
- Chi phí xây dựng cơ bản đồ dang,- Chi phí xây dựng cơ bản đồ dang,- Chi phí xây dựng cơ bản đồ dang,2.557.665,2.955.414,2557665.0,2955414.0
- Các khoản phải thu khác,- Các khoản phải thu khác,- Các khoản phải thu khác,6.602.039,5.898.326,6602039.0,5898326.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.846.132,11.673.017,12846132.0,11673017.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,38.579,34.472,38579.0,34472.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,4.460.435,4.533.448,4460435.0,4533448.0
- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,229.831,168.247,229831.0,168247.0
- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,2.344.027,2.560.991,2344027.0,2560991.0
- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,464.449,474.522,464449.0,474522.0
- Tài sản Có khác,- Tài sản Có khác,- Tài sản Có khác,1.422.128,1.329.688,1422128.0,1329688.0
,,,26.504.850,25.094.677,26504850.0,25094677.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,(640.823),(651.815),-640823.0,-651815.0
,,,25.864.027,24.442.862,25864027.0,24442862.0
