row_label_raw,row_label_full,Cam kết mua TSCĐ hữu hình có giá trị lớn trongtuống lai,Số cuối nămTriệu VND > 193.663,Số đầu nămTriệu VND > 226.170,numeric__Số cuối nămTriệu VND > 193.663,numeric__Số đầu nămTriệu VND > 226.170
Nguyên giá TSCĐ hữu hình đã khấu hao hết nhùngvấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhùngvấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhùngvấn còn sử dụng,2.628.293,2.101.250,2628293.0,2101250.0
Giá trị còn lại của TSCĐ hữu hình đang chờ thanh lý,Giá trị còn lại của TSCĐ hữu hình đang chờ thanh lý,Giá trị còn lại của TSCĐ hữu hình đang chờ thanh lý,24,2.632,24.0,2632.0
Giá trị còn lại của TSCĐ hữu hình tạm thời không sửdụng vào sản xuất kinh doanh,Giá trị còn lại của TSCĐ hữu hình tạm thời không sửdụng vào sản xuất kinh doanh,Giá trị còn lại của TSCĐ hữu hình tạm thời không sửdụng vào sản xuất kinh doanh,129,2.846,129.0,2846.0
