row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm(trình bày lại),Số đầu năm(trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm(trình bày lại),numeric__Số đầu năm(trình bày lại)_1
,,,Triệu VND,%,Triệu VND,%,,,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,1.072.557.727,"96,02",946.905.941,"95,76",1072557727.0,96.02,946905941.0,95.76
Nợ cản chú ý,Nợ cản chú ý,Nợ cản chú ý,24.943.852,"2,23",23.030.423,"2,33",24943852.0,2.23,23030423.0,2.33
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,3.835.155,"0,34",5.449.978,"0,55",3835155.0,0.34,5449978.0,0.55
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,4.305.007,"0,39",6.182.268,"0,63",4305007.0,0.39,6182268.0,0.63
Nợ có khả năng mắt vốn,Nợ có khả năng mắt vốn,Nợ có khả năng mắt vốn,11.356.244,"1,02",7.170.170,"0,73",11356244.0,1.02,7170170.0,0.73
,,,1.116.997.985,100,988.738.780,100,1116997985.0,100.0,988738780.0,100.0
