row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(trình bày lại)
,,,Triệu VND,Triệu VND,,
Chứng khoán Nợ,Chứng khoán Nợ,Chứng khoán Nợ,13.950.374,15.710.090,13950374.0,15710090.0
Chứng khoán Chính phủ,Chứng khoán Chính phủ,Chứng khoán Chính phủ,1.572.744,1.572.684,1572744.0,1572684.0
Chứng khoán Nợ do các TCTD khác trong nước phát hành,Chứng khoán Nợ do các TCTD khác trong nước phát hành,Chứng khoán Nợ do các TCTD khác trong nước phát hành,642.344,392.721,642344.0,392721.0
Chứng khoán Nợ do các TCKT trong nước phát hành,Chứng khoán Nợ do các TCKT trong nước phát hành,Chứng khoán Nợ do các TCKT trong nước phát hành,10.797.538,12.461.646,10797538.0,12461646.0
Chứng khoán Nợ nước ngoài,Chứng khoán Nợ nước ngoài,Chứng khoán Nợ nước ngoài,937.748,1.283.039,937748.0,1283039.0
Dự phòng rủi ro chứng khoán nợ đầu tư giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán nợ đầu tư giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán nợ đầu tư giữ đến ngày đáo hạn,(314.422),(263.255),-314422.0,-263255.0
Dự phòng chung,Dự phòng chung,Dự phòng chung,(73.330),(82.251),-73330.0,-82251.0
Dự phòng cụ thể,Dự phòng cụ thể,Dự phòng cụ thể,(241.092),(181.004),-241092.0,-181004.0
,,,13.635.952,15.446.835,13635952.0,15446835.0
