row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị,dụng cụquản lý",TSCĐ khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụquản lý",numeric__TSCĐ khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),6.355.200,4.241.018,1.282.312,169.526,112.352,12.160.408,6355200.0,4241018.0,1282312.0,169526.0,112352.0,12160408.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,38.951,244.207,78.246,5.353,12.272,379.029,38951.0,244207.0,78246.0,5353.0,12272.0,379029.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,223.320,76.914,14.347,9.846,914,325.341,223320.0,76914.0,14347.0,9846.0,914.0,325341.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(18.428),(59.340),(22.643),(7.990),(3.922),(112.323),-18428.0,-59340.0,-22643.0,-7990.0,-3922.0,-112323.0
Tăng/(Giảm) khác,Nguyên giá TSCĐ hữu hình > Tăng/(Giảm) khác,Tăng/(Giảm) khác,17.590,12.152,2.668,(61),24,32.373,17590.0,12152.0,2668.0,-61.0,24.0,32373.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,6.616.633,4.514.951,1.354.930,176.674,121.640,12.784.828,6616633.0,4514951.0,1354930.0,176674.0,121640.0,12784828.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),1.676.493,3.019.872,851.340,117.583,80.602,5.745.890,1676493.0,3019872.0,851340.0,117583.0,80602.0,5745890.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,293.498,374.647,109.013,21.671,17.673,816.502,293498.0,374647.0,109013.0,21671.0,17673.0,816502.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.705),(58.456),(18.794),(7.411),(3.699),(96.065),-7705.0,-58456.0,-18794.0,-7411.0,-3699.0,-96065.0
Tăng/(Giảm) khác,Giá trị hao mòn lũy kế > Tăng/(Giảm) khác,Tăng/(Giảm) khác,6.411,10.146,6.165,4.066,(2.806),23.982,6411.0,10146.0,6165.0,4066.0,-2806.0,23982.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.968.697,3.346.209,947.724,135.909,91.770,6.490.309,1968697.0,3346209.0,947724.0,135909.0,91770.0,6490309.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),4.678.707,1.221.146,430.972,51.943,31.750,6.414.518,4678707.0,1221146.0,430972.0,51943.0,31750.0,6414518.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.647.936,1.168.742,407.206,40.765,29.870,6.294.519,4647936.0,1168742.0,407206.0,40765.0,29870.0,6294519.0
