row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Đơn vị: Triệu VND Số đầu năm (Trình bày lại),numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: Triệu VND Số đầu năm (Trình bày lại)
B.,B.,B.,NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,108.760.008,105.297.399,,17.0,108760008.0,105297399.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,76.683.179,79.198.149,,18.0,76683179.0,79198149.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,28.904.853,22.064.492,,,28904853.0,22064492.0
2.,B. > 2.,2.,Vay các TCTD khác,,47.778.326,57.133.657,,,47778326.0,57133657.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,1.114.162.624,989.671.155,,19.0,1114162624.0,989671155.0
IV.,B. > IV.,IV.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,12.386.421,12.296.196,,20.0,12386421.0,12296196.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,21,62.772.362,39.991.361,,21.0,62772362.0,39991361.0
VI.,B. > VI.,VI.,Các khoản nợ khác,22,37.539.718,31.922.333,,22.0,37539718.0,31922333.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,24.695.986,20.726.439,,,24695986.0,20726439.0
2.,B. > 2.,2.,Thuế TNDN hoãn lại phải trả,,111.935,90.753,,,111935.0,90753.0
3.,B. > 3.,3.,Các khoản phải trả và công nợ khác,,12.731.797,11.105.141,,,12731797.0,11105141.0
,,,TỔNG NỘ PHẢI TRÀ,,1.412.304.312,1.258.376.593,,,1412304312.0,1258376593.0
VII.,B. > VII.,VII.,Vốn và các quỹ,24,,,,24.0,,
1.,B. > 1.,1.,Vốn của Ngân hàng,,54.780.413,34.396.605,,,54780413.0,34396605.0
a.,B. > a.,a.,Vốn điều lệ,,40.220.180,34.187.153,,,40220180.0,34187153.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,14.292.382,30.306,,,14292382.0,30306.0
c,B. > c,c,Vốn khác,,267.851,179.146,,,267851.0,179146.0
2.,B. > 2.,2.,Quỹ của Ngân hàng,,5.755.410,4.617.990,,,5755410.0,4617990.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,129.783,156.581,,,129783.0,156581.0
4.,B. > 4.,4.,Lợi nhuận chưa phân phối,,13.856.938,12.270.771,,,13856938.0,12270771.0
5.,B. > 5.,5.,Lợi ích cổ đông không kiểm soát,,3.130.437,3.047.709,,,3130437.0,3047709.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,77.652.981,54.489.656,,,77652981.0,54489656.0
,,,TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,,1.489.957.293,1.312.866.249,,,1489957293.0,1312866249.0
