row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoản,Khác,Loại trừ,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoản,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,35.714.470,84.604,265.125,106.724,7.064,(200.179),35.977.808,35714470.0,84604.0,265125.0,106724.0,7064.0,-200179.0,35977808.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,35.726.059,90.490,64.729,96.530,-,-,35.977.808,35726059.0,90490.0,64729.0,96530.0,,,35977808.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,(11.589),(5.886),200.396,10.194,7.064,(200.179),-,-11589.0,-5886.0,200396.0,10194.0,7064.0,-200179.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,3.802.396,253,414.592,101.798,9.889,(62.597),4.266.331,3802396.0,253.0,414592.0,101798.0,9889.0,-62597.0,4266331.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,3.761.317,353,374.276,130.405,(20),-,4.266.331,3761317.0,353.0,374276.0,130405.0,-20.0,,4266331.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,41.079,(100),40.316,(28.607),9.909,(62.597),-,41079.0,-100.0,40316.0,-28607.0,9909.0,-62597.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,1.492.768,-,1.919,9,-,-,1.494.696,1492768.0,,1919.0,9.0,,,1494696.0
Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,739.858,-,2.306,62.845,-,1.737,806.746,739858.0,,2306.0,62845.0,,1737.0,806746.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,5.473.131,1.471,338,4.403,-,(118.169),5.361.174,5473131.0,1471.0,338.0,4403.0,,-118169.0,5361174.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",250.987,-,6.950,14.754,-,(58.206),214.485,250987.0,,6950.0,14754.0,,-58206.0,214485.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,47.473.610,86.328,691.230,290.533,16.953,(437.414),48.121.240,47473610.0,86328.0,691230.0,290533.0,16953.0,-437414.0,48121240.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,(9.400.354),(35.079),(220.532),(85.198),(9.353),28.067,(9.722.449),-9400354.0,-35079.0,-220532.0,-85198.0,-9353.0,28067.0,-9722449.0
Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(1.008.943),(583),(7.545),(6.675),(27),-,(1.023.773),-1008943.0,-583.0,-7545.0,-6675.0,-27.0,,-1023773.0
