row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
1. Vay từ NHNN,1. Vay từ NHNN,1. Vay từ NHNN,9.761.582,10.701.253,9761582.0,10701253.0
Nhận vốn từ NHNN để tạm ứng cho Ban Xử lý nợ cho vay đặc biệt Ngân hàng TMCP Nam Đô,Nhận vốn từ NHNN để tạm ứng cho Ban Xử lý nợ cho vay đặc biệt Ngân hàng TMCP Nam Đô,Nhận vốn từ NHNN để tạm ứng cho Ban Xử lý nợ cho vay đặc biệt Ngân hàng TMCP Nam Đô,149.500,149.500,149500.0,149500.0
Vay thực hiện Dự án Hiện đại hóa Ngân hàng và Hệ thống Thanh toán của Ngân hàng bằng ngoại tệ,Vay thực hiện Dự án Hiện đại hóa Ngân hàng và Hệ thống Thanh toán của Ngân hàng bằng ngoại tệ,Vay thực hiện Dự án Hiện đại hóa Ngân hàng và Hệ thống Thanh toán của Ngân hàng bằng ngoại tệ,116.947,138.329,116947.0,138329.0
Các khoản nợ NHNN khác bằng VND,Các khoản nợ NHNN khác bằng VND,Các khoản nợ NHNN khác bằng VND,9.495.135,10.413.424,9495135.0,10413424.0
2. Tiền gửi của Bộ Tài chính,2. Tiền gửi của Bộ Tài chính,2. Tiền gửi của Bộ Tài chính,10.158.479,24.163.904,10158479.0,24163904.0
Tiền gửi của Bộ Tài chính bằng VND,Tiền gửi của Bộ Tài chính bằng VND,Tiền gửi của Bộ Tài chính bằng VND,7.604.691,22.303.593,7604691.0,22303593.0
Tiền gửi của Bộ Tài chính bằng ngoại tệ,Tiền gửi của Bộ Tài chính bằng ngoại tệ,Tiền gửi của Bộ Tài chính bằng ngoại tệ,2.553.788,1.860.311,2553788.0,1860311.0
3. Tiền gửi thanh toán của Kho bạc Nhà nước Việt Nam và Lào,3. Tiền gửi thanh toán của Kho bạc Nhà nước Việt Nam và Lào,3. Tiền gửi thanh toán của Kho bạc Nhà nước Việt Nam và Lào,974.947,19.432.242,974947.0,19432242.0
Tiền gửi thanh toán của Kho bạc Nhà nước bằng VND,Tiền gửi thanh toán của Kho bạc Nhà nước bằng VND,Tiền gửi thanh toán của Kho bạc Nhà nước bằng VND,291.353,18.896.015,291353.0,18896015.0
Tiền gửi thanh toán của Kho bạc Nhà nước bằng ngoại tệ,Tiền gửi thanh toán của Kho bạc Nhà nước bằng ngoại tệ,Tiền gửi thanh toán của Kho bạc Nhà nước bằng ngoại tệ,683.594,536.227,683594.0,536227.0
4. Tiền gửi có kỳ hạn của Kho bạc Nhà nước,4. Tiền gửi có kỳ hạn của Kho bạc Nhà nước,4. Tiền gửi có kỳ hạn của Kho bạc Nhà nước,87.865.000,51.000.000,87865000.0,51000000.0
Tiền gửi có kỳ hạn của Kho bạc Nhà nước bằng VND,Tiền gửi có kỳ hạn của Kho bạc Nhà nước bằng VND,Tiền gửi có kỳ hạn của Kho bạc Nhà nước bằng VND,87.865.000,51.000.000,87865000.0,51000000.0
,,,108.760.008,105.297.399,108760008.0,105297399.0
