row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đây > Triệu VND,Điều chỉnh > Triệu VND,Số trình bày lại > Triệu VND,numeric__Số đã trình bày trước đây > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Số trình bày lại > Triệu VND
BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi và các khoản thu nhập,Thu nhập lãi và các khoản thu nhập,90.074.018,(234.893),89.839.125,90074018.0,-234893.0,89839125.0
Chi phí lãi và các chi phí tương tự,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(55.118.154),(123),(55.118.277),-55118154.0,-123.0,-55118277.0
Thu nhập lãi thuần,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi thuần,Thu nhập lãi thuần,34.955.864,(235.016),34.720.848,34955864.0,-235016.0,34720848.0
Thu nhập từ hoạt động dịch vụ,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,6.801.845,(13.127),6.788.718,6801845.0,-13127.0,6788718.0
Chi phí hoạt động dịch vụ,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(3.251.046),17.430,(3.233.616),-3251046.0,17430.0,-3233616.0
Lãi thuần từ hoạt động dịch vụ,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,3.550.799,4.303,3.555.102,3550799.0,4303.0,3555102.0
Lãi thuần từ mua bán chứng khoán đầu tư,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,234.077,750,234.827,234077.0,750.0,234827.0
Chi phí từ hoạt động khác,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.522.134),2.857,(1.519.277),-1522134.0,2857.0,-1519277.0
Lãi thuần từ hoạt động khác,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.815.175,2.857,3.818.032,3815175.0,2857.0,3818032.0
Tổng thu nhập hoạt động,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,44.483.062,(227.106),44.255.956,44483062.0,-227106.0,44255956.0
Chi phí nhân viên,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí nhân viên,Chi phí nhân viên,(8.879.654),101.676,(8.777.978),-8879654.0,101676.0,-8777978.0
Chi phí khấu hao và khấu trừ,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(978.546),(43),(978.589),-978546.0,-43.0,-978589.0
Chi phí hoạt động khác,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí hoạt động khác,Chi phí hoạt động khác,(6.258.722),(795),(6.259.517),-6258722.0,-795.0,-6259517.0
Tổng chi phí hoạt động,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Tổng chi phí hoạt động,Tổng chi phí hoạt động,(16.116.922),100.838,(16.016.084),-16116922.0,100838.0,-16016084.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,28.366.140,(126.268),28.239.872,28366140.0,-126268.0,28239872.0
Chi phí dự phòng rủi ro tín dụng,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(18.893.635),45.180,(18.848.455),-18893635.0,45180.0,-18848455.0
Tổng lợi nhuận trước thuế,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,9.472.505,(81.088),9.391.417,9472505.0,-81088.0,9391417.0
Chi phí thuế TNDN hiện hành,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.926.628),19.283,(1.907.345),-1926628.0,19283.0,-1907345.0
Chi phí thuế TNDN,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Chi phí thuế TNDN,Chi phí thuế TNDN,(1.930.672),19.283,(1.911.389),-1930672.0,19283.0,-1911389.0
Lợi nhuận sau thuế,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lợi nhuận sau thuế,Lợi nhuận sau thuế,7.541.833,(61.805),7.480.028,7541833.0,-61805.0,7480028.0
Lợi ích của cổ đông thiểu số,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,(183.964),(8.850),(192.814),-183964.0,-8850.0,-192814.0
Lợi nhuận thuần của cổ đông,BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lợi nhuận thuần của cổ đông,Lợi nhuận thuần của cổ đông,7.357.869,(70.655),7.287.214,7357869.0,-70655.0,7287214.0
Lãi cơ bản trên mỗi cổ phiếu (đồng/cổ phiếu),BÁO CÁO KẾT QUÀ HOẠT ĐỘNG KINH DOANH > Lãi cơ bản trên mỗi cổ phiếu (đồng/cổ phiếu),Lãi cơ bản trên mỗi cổ phiếu (đồng/cổ phiếu),1.634,(21),1.613,1634.0,-21.0,1613.0
