row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay,Năm trước(Trình bày lại),numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,100.233.777,88.053.639,,100233777.0,88053639.0
Chi phí lãi và các chi phí tương tự đã trả,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi và các chi phí tương tự đã trả,Chi phí lãi và các chi phí tương tự đã trả,Chi phí lãi và các chi phí tương tự đã trả,(60.799.870),(51.446.906),,-60799870.0,-51446906.0
Thu nhập từ hoạt động dịch vụ nhận được,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,4.266.331,3.555.102,,4266331.0,3555102.0
"Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán","LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán","Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán","Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán",2.689.112,1.919.031,,2689112.0,1919031.0
Chi hoạt động khác,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi hoạt động khác,Chi hoạt động khác,Chi hoạt động khác,(409.071),(668.809),,-409071.0,-668809.0
"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro","LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro",5.777.810,4.478.587,,5777810.0,4478587.0
"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(15.665.395),(15.414.260),,-15665395.0,-15414260.0
Tiền thuê thu nhập doanh nghiệp thực nộp trong năm,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thuê thu nhập doanh nghiệp thực nộp trong năm,Tiền thuê thu nhập doanh nghiệp thực nộp trong năm,23,(1.871.349),(1.743.510),23.0,-1871349.0,-1743510.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,34.221.345,28.732.874,,34221345.0,28732874.0
